y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,40385,87079,0
GA,Georgia,13,01,AL,Alabama,6820,14003,0
FL,Florida,12,01,AL,Alabama,5532,11443,0
TN,Tennessee,47,01,AL,Alabama,3100,6680,0
FR,Foreign,57,01,AL,Alabama,2834,6075,0
TX,Texas,48,01,AL,Alabama,2732,6073,0
MS,Mississippi,28,01,AL,Alabama,2068,4728,0
CA,California,06,01,AL,Alabama,1558,3043,0
NC,North Carolina,37,01,AL,Alabama,1430,3192,0
LA,Louisiana,22,01,AL,Alabama,1381,3123,0
VA,Virginia,51,01,AL,Alabama,1263,2873,0
SC,South Carolina,45,01,AL,Alabama,953,2137,0
OH,Ohio,39,01,AL,Alabama,861,1881,0
IL,Illinois,17,01,AL,Alabama,780,1528,0
NY,New York,36,01,AL,Alabama,699,1475,0
MI,Michigan,26,01,AL,Alabama,649,1362,0
KY,Kentucky,21,01,AL,Alabama,617,1373,0
IN,Indiana,18,01,AL,Alabama,532,1200,0
PA,Pennsylvania,42,01,AL,Alabama,498,1086,0
MD,Maryland,24,01,AL,Alabama,480,1039,0
CO,Colorado,08,01,AL,Alabama,473,1080,0
MO,Missouri,29,01,AL,Alabama,419,965,0
WA,Washington,53,01,AL,Alabama,415,917,0
AR,Arkansas,05,01,AL,Alabama,414,992,0
OK,Oklahoma,40,01,AL,Alabama,376,873,0
AZ,Arizona,04,01,AL,Alabama,335,783,0
KS,Kansas,20,01,AL,Alabama,327,793,0
NJ,New Jersey,34,01,AL,Alabama,251,525,0
HI,Hawaii,15,01,AL,Alabama,230,562,0
MA,Massachusetts,25,01,AL,Alabama,202,385,0
WI,Wisconsin,55,01,AL,Alabama,194,431,0
AK,Alaska,02,01,AL,Alabama,174,456,0
CT,Connecticut,09,01,AL,Alabama,161,339,0
NV,Nevada,32,01,AL,Alabama,155,318,0
MN,Minnesota,27,01,AL,Alabama,144,307,0
NM,New Mexico,35,01,AL,Alabama,141,318,0
WV,West Virginia,54,01,AL,Alabama,136,326,0
IA,Iowa,19,01,AL,Alabama,136,290,0
OR,Oregon,41,01,AL,Alabama,129,258,0
NE,Nebraska,31,01,AL,Alabama,109,302,0
UT,Utah,49,01,AL,Alabama,103,275,0
ME,Maine,23,01,AL,Alabama,81,171,0
DC,District of Columbia,11,01,AL,Alabama,74,118,0
WY,Wyoming,56,01,AL,Alabama,56,148,0
ID,Idaho,16,01,AL,Alabama,55,140,0
DE,Delaware,10,01,AL,Alabama,54,114,0
MT,Montana,30,01,AL,Alabama,52,129,0
ND,North Dakota,38,01,AL,Alabama,50,114,0
SD,South Dakota,46,01,AL,Alabama,50,115,0
RI,Rhode Island,44,01,AL,Alabama,42,84,0
NH,New Hampshire,33,01,AL,Alabama,33,79,0
VT,Vermont,50,01,AL,Alabama,27,58,0
AL,AL Non-migrants,01,01,AL,Alabama,1334900,3153705,0
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,13486,29521,0
WA,Washington,53,02,AK,Alaska,2293,4538,0
CA,California,06,02,AK,Alaska,1584,3183,0
OR,Oregon,41,02,AK,Alaska,1005,1977,0
TX,Texas,48,02,AK,Alaska,798,1953,0
AZ,Arizona,04,02,AK,Alaska,496,1012,0
FL,Florida,12,02,AK,Alaska,488,1058,0
CO,Colorado,08,02,AK,Alaska,456,998,0
FR,Foreign,57,02,AK,Alaska,416,868,0
VA,Virginia,51,02,AK,Alaska,305,826,0
ID,Idaho,16,02,AK,Alaska,300,670,0
