y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,00,,,3204530,6093410,162012928
US,Total Migration-US,97,00,,,3100843,5901694,157061195
FO,Total Migration-Foreign,98,00,,,103687,191716,4951733
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,41231,83185,1776861
US,Total Migration-US,97,01,AL,Alabama,40071,80743,1731732
FO,Total Migration-Foreign,98,01,AL,Alabama,1160,2442,45129
AL,AL Non-migrants,01,01,AL,Alabama,1532800,3443705,78152182
GA,Georgia,13,01,AL,Alabama,7435,14923,283025
FL,Florida,12,01,AL,Alabama,5541,10497,258556
TN,Tennessee,47,01,AL,Alabama,3618,7155,160411
TX,Texas,48,01,AL,Alabama,2875,6039,136950
MS,Mississippi,28,01,AL,Alabama,2535,5280,90315
NC,North Carolina,37,01,AL,Alabama,1613,3201,74207
LA,Louisiana,22,01,AL,Alabama,1584,3327,54041
CA,California,06,01,AL,Alabama,1429,2645,57709
VA,Virginia,51,01,AL,Alabama,1304,2894,67732
FR,Foreign,57,01,AL,Alabama,1160,2442,45129
SC,South Carolina,45,01,AL,Alabama,886,1827,43652
OH,Ohio,39,01,AL,Alabama,761,1552,34615
NY,New York,36,01,AL,Alabama,754,1339,29008
IL,Illinois,17,01,AL,Alabama,728,1401,27808
KY,Kentucky,21,01,AL,Alabama,727,1539,32916
MI,Michigan,26,01,AL,Alabama,574,1189,20971
MO,Missouri,29,01,AL,Alabama,549,1159,30151
IN,Indiana,18,01,AL,Alabama,543,1112,20815
CO,Colorado,08,01,AL,Alabama,539,1150,24564
WA,Washington,53,01,AL,Alabama,481,1023,27836
AR,Arkansas,05,01,AL,Alabama,474,1019,19280
AZ,Arizona,04,01,AL,Alabama,457,915,20212
PA,Pennsylvania,42,01,AL,Alabama,450,855,22720
MD,Maryland,24,01,AL,Alabama,391,781,18608
OK,Oklahoma,40,01,AL,Alabama,387,847,14056
KS,Kansas,20,01,AL,Alabama,330,750,14587
WI,Wisconsin,55,01,AL,Alabama,266,524,17477
NJ,New Jersey,34,01,AL,Alabama,252,461,11138
MA,Massachusetts,25,01,AL,Alabama,218,389,9548
NV,Nevada,32,01,AL,Alabama,208,417,8211
HI,Hawaii,15,01,AL,Alabama,197,503,8194
NM,New Mexico,35,01,AL,Alabama,186,372,9089
MN,Minnesota,27,01,AL,Alabama,178,338,10595
AK,Alaska,02,01,AL,Alabama,157,396,7000
UT,Utah,49,01,AL,Alabama,157,375,7543
OR,Oregon,41,01,AL,Alabama,148,274,5998
IA,Iowa,19,01,AL,Alabama,137,291,5901
CT,Connecticut,09,01,AL,Alabama,136,260,6188
WV,West Virginia,54,01,AL,Alabama,134,280,5741
NE,Nebraska,31,01,AL,Alabama,108,251,6083
DC,District of Columbia,11,01,AL,Alabama,98,139,6232
WY,Wyoming,56,01,AL,Alabama,81,157,2987
ID,Idaho,16,01,AL,Alabama,74,163,2852
DE,Delaware,10,01,AL,Alabama,60,124,2765
ME,Maine,23,01,AL,Alabama,58,98,1478
NH,New Hampshire,33,01,AL,Alabama,58,91,2601
MT,Montana,30,01,AL,Alabama,57,115,3675
ND,North Dakota,38,01,AL,Alabama,46,120,2125
SD,South Dakota,46,01,AL,Alabama,40,83,1369
VT,Vermont,50,01,AL,Alabama,28,48,1176
RI,Rhode Island,44,01,AL,Alabama,24,55,1019
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,15520,31111,659293
US,Total Migration-US,97,02,AK,Alaska,14954,30016,637436
FO,Total Migration-Foreign,98,02,AK,Alaska,566,1095,21857
AK,AK Non-migrants,02,02,AK,Alaska,227683,490179,13802387
WA,Washington,53,02,AK,Alaska,1968,3546,86325
CA,California,06,02,AK,Alaska,1310,2347,46345
TX,Texas,48,02,AK,Alaska,1136,2536,57007
OR,Oregon,41,02,AK,Alaska,963,1678,37781
AZ,Arizona,04,02,AK,Alaska,690,1351,28443
FL,Florida,12,02,AK,Alaska,684,1401,27140
FR,Foreign,57,02,AK,Alaska,566,1095,21857
CO,Colorado,08,02,AK,Alaska,553,1080,27439
NV,Nevada,32,02,AK,Alaska,456,788,20396
ID,Idaho,16,02,AK,Alaska,454,949,20461
VA,Virginia,51,02,AK,Alaska,392,897,19547
NC,North Carolina,37,02,AK,Alaska,379,919,15350
GA,Georgia,13,02,AK,Alaska,347,789,12953
MT,Montana,30,02,AK,Alaska,346,675,17157
UT,Utah,49,02,AK,Alaska,286,629,12798
NM,New Mexico,35,02,AK,Alaska,281,610,12459
NY,New York,36,02,AK,Alaska,264,468,8404
MN,Minnesota,27,02,AK,Alaska,259,443,12452
HI,Hawaii,15,02,AK,Alaska,253,486,11046
OK,Oklahoma,40,02,AK,Alaska,245,604,11731
IL,Illinois,17,02,AK,Alaska,224,469,9370
MO,Missouri,29,02,AK,Alaska,212,500,8167
MI,Michigan,26,02,AK,Alaska,211,404,7999
OH,Ohio,39,02,AK,Alaska,200,431,7507
TN,Tennessee,47,02,AK,Alaska,185,394,8017
AL,Alabama,01,02,AK,Alaska,176,456,9207
WI,Wisconsin,55,02,AK,Alaska,171,301,6222
AR,Arkansas,05,02,AK,Alaska,166,353,6841
SC,South Carolina,45,02,AK,Alaska,160,392,6595
PA,Pennsylvania,42,02,AK,Alaska,159,309,5767
MD,Maryland,24,02,AK,Alaska,151,312,7215
KS,Kansas,20,02,AK,Alaska,145,330,5305
WY,Wyoming,56,02,AK,Alaska,136,282,7235
KY,Kentucky,21,02,AK,Alaska,132,287,4416
LA,Louisiana,22,02,AK,Alaska,127,287,4896
IN,Indiana,18,02,AK,Alaska,120,246,4987
NJ,New Jersey,34,02,AK,Alaska,115,222,4667
ND,North Dakota,38,02,AK,Alaska,113,258,4877
NE,Nebraska,31,02,AK,Alaska,104,211,4755
SD,South Dakota,46,02,AK,Alaska,101,237,4813
MA,Massachusetts,25,02,AK,Alaska,100,155,3764
MS,Mississippi,28,02,AK,Alaska,90,228,4270
ME,Maine,23,02,AK,Alaska,88,177,3229
IA,Iowa,19,02,AK,Alaska,66,134,2566
WV,West Virginia,54,02,AK,Alaska,51,103,1976
VT,Vermont,50,02,AK,Alaska,43,78,1734
NH,New Hampshire,33,02,AK,Alaska,42,81,1958
CT,Connecticut,09,02,AK,Alaska,35,59,1081
DE,Delaware,10,02,AK,Alaska,28,55,755
DC,District of Columbia,11,02,AK,Alaska,22,40,1290
RI,Rhode Island,44,02,AK,Alaska,15,29,722
US+FO,Total Migration-US and Foreign,96,04,AZ,Arizona,78466,152416,3655335
US,Total Migration-US,97,04,AZ,Arizona,76482,148816,3579566
