y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,00,,,3088637,5801937,139536108
US,Total Migration-US,97,00,,,2962865,5573964,134772492
FO,Total Migration-Foreign,98,00,,,125772,227973,4763616
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,43025,86851,1589165
US,Total Migration-US,97,01,AL,Alabama,41457,83734,1536496
FO,Total Migration-Foreign,98,01,AL,Alabama,1568,3117,52669
AL,AL Non-migrants,01,01,AL,Alabama,1506891,3390671,63342589
GA,Georgia,13,01,AL,Alabama,7951,15731,274309
FL,Florida,12,01,AL,Alabama,6154,11916,225766
TN,Tennessee,47,01,AL,Alabama,3496,7080,136604
TX,Texas,48,01,AL,Alabama,2985,6288,118310
MS,Mississippi,28,01,AL,Alabama,2429,5031,79885
NC,North Carolina,37,01,AL,Alabama,1750,3482,67815
FR,Foreign,57,01,AL,Alabama,1568,3117,52669
VA,Virginia,51,01,AL,Alabama,1345,2917,59546
LA,Louisiana,22,01,AL,Alabama,1328,2646,46738
CA,California,06,01,AL,Alabama,1312,2451,44648
SC,South Carolina,45,01,AL,Alabama,913,1926,37262
OH,Ohio,39,01,AL,Alabama,821,1735,27459
IL,Illinois,17,01,AL,Alabama,806,1637,31934
KY,Kentucky,21,01,AL,Alabama,794,1718,27433
MI,Michigan,26,01,AL,Alabama,708,1423,22659
NY,New York,36,01,AL,Alabama,676,1218,23061
CO,Colorado,08,01,AL,Alabama,576,1158,20670
MO,Missouri,29,01,AL,Alabama,567,1132,20510
MD,Maryland,24,01,AL,Alabama,520,1078,22804
IN,Indiana,18,01,AL,Alabama,506,1060,20426
PA,Pennsylvania,42,01,AL,Alabama,491,1006,20132
WA,Washington,53,01,AL,Alabama,472,977,19498
AZ,Arizona,04,01,AL,Alabama,465,913,18914
AR,Arkansas,05,01,AL,Alabama,465,1042,16001
OK,Oklahoma,40,01,AL,Alabama,400,840,13341
NJ,New Jersey,34,01,AL,Alabama,303,561,12805
KS,Kansas,20,01,AL,Alabama,272,630,10797
WI,Wisconsin,55,01,AL,Alabama,232,483,9256
MA,Massachusetts,25,01,AL,Alabama,226,430,12739
HI,Hawaii,15,01,AL,Alabama,202,468,7225
NV,Nevada,32,01,AL,Alabama,190,409,7813
NM,New Mexico,35,01,AL,Alabama,185,400,7017
OR,Oregon,41,01,AL,Alabama,172,303,6460
MN,Minnesota,27,01,AL,Alabama,171,326,7028
AK,Alaska,02,01,AL,Alabama,166,411,6514
WV,West Virginia,54,01,AL,Alabama,165,367,5430
CT,Connecticut,09,01,AL,Alabama,157,273,5633
IA,Iowa,19,01,AL,Alabama,143,348,6735
UT,Utah,49,01,AL,Alabama,133,270,5193
NE,Nebraska,31,01,AL,Alabama,121,293,4686
DC,District of Columbia,11,01,AL,Alabama,96,136,2972
MT,Montana,30,01,AL,Alabama,78,167,2222
WY,Wyoming,56,01,AL,Alabama,76,149,2483
ID,Idaho,16,01,AL,Alabama,74,164,2694
ME,Maine,23,01,AL,Alabama,67,153,2772
NH,New Hampshire,33,01,AL,Alabama,59,98,2577
DE,Delaware,10,01,AL,Alabama,55,111,2010
ND,North Dakota,38,01,AL,Alabama,53,102,1802
SD,South Dakota,46,01,AL,Alabama,52,117,1908
RI,Rhode Island,44,01,AL,Alabama,41,89,1849
VT,Vermont,50,01,AL,Alabama,38,71,2155
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,14052,28522,542571
US,Total Migration-US,97,02,AK,Alaska,13514,27448,523005
FO,Total Migration-Foreign,98,02,AK,Alaska,538,1074,19566
AK,AK Non-migrants,02,02,AK,Alaska,211261,465216,11404252
WA,Washington,53,02,AK,Alaska,1825,3487,77805
CA,California,06,02,AK,Alaska,1313,2337,41905
OR,Oregon,41,02,AK,Alaska,886,1574,33142
TX,Texas,48,02,AK,Alaska,886,2065,40354
AZ,Arizona,04,02,AK,Alaska,640,1180,25694
FL,Florida,12,02,AK,Alaska,604,1299,22141
FR,Foreign,57,02,AK,Alaska,538,1074,19566
CO,Colorado,08,02,AK,Alaska,520,1006,21108
NC,North Carolina,37,02,AK,Alaska,409,958,13244
NV,Nevada,32,02,AK,Alaska,383,705,18088
ID,Idaho,16,02,AK,Alaska,354,729,15428
GA,Georgia,13,02,AK,Alaska,341,780,11846
VA,Virginia,51,02,AK,Alaska,315,718,13432
MT,Montana,30,02,AK,Alaska,297,559,11105
NY,New York,36,02,AK,Alaska,267,533,8046
HI,Hawaii,15,02,AK,Alaska,256,515,9688
UT,Utah,49,02,AK,Alaska,249,508,8261
NM,New Mexico,35,02,AK,Alaska,224,477,8292
MN,Minnesota,27,02,AK,Alaska,206,400,8068
MI,Michigan,26,02,AK,Alaska,199,413,7423
OK,Oklahoma,40,02,AK,Alaska,197,466,8587
IL,Illinois,17,02,AK,Alaska,190,353,7826
MD,Maryland,24,02,AK,Alaska,189,388,7812
OH,Ohio,39,02,AK,Alaska,186,384,6636
PA,Pennsylvania,42,02,AK,Alaska,172,307,5897
TN,Tennessee,47,02,AK,Alaska,169,399,7142
MO,Missouri,29,02,AK,Alaska,163,365,5291
LA,Louisiana,22,02,AK,Alaska,158,388,5911
AL,Alabama,01,02,AK,Alaska,154,388,5665
SC,South Carolina,45,02,AK,Alaska,145,329,4761
WI,Wisconsin,55,02,AK,Alaska,145,275,5548
KS,Kansas,20,02,AK,Alaska,141,340,5554
KY,Kentucky,21,02,AK,Alaska,123,275,4135
MA,Massachusetts,25,02,AK,Alaska,119,218,4671
AR,Arkansas,05,02,AK,Alaska,114,250,4235
IN,Indiana,18,02,AK,Alaska,108,218,4153
WY,Wyoming,56,02,AK,Alaska,106,221,4979
NJ,New Jersey,34,02,AK,Alaska,90,171,2997
ND,North Dakota,38,02,AK,Alaska,87,211,3492
MS,Mississippi,28,02,AK,Alaska,82,194,2713
SD,South Dakota,46,02,AK,Alaska,78,169,3559
NE,Nebraska,31,02,AK,Alaska,72,178,2848
ME,Maine,23,02,AK,Alaska,69,122,2564
IA,Iowa,19,02,AK,Alaska,58,127,2055
CT,Connecticut,09,02,AK,Alaska,56,121,2145
NH,New Hampshire,33,02,AK,Alaska,45,90,2382
DE,Delaware,10,02,AK,Alaska,28,65,721
WV,West Virginia,54,02,AK,Alaska,28,54,1045
VT,Vermont,50,02,AK,Alaska,27,65,1153
DC,District of Columbia,11,02,AK,Alaska,22,35,869
RI,Rhode Island,44,02,AK,Alaska,19,39,590
US+FO,Total Migration-US and Foreign,96,04,AZ,Arizona,74521,140774,3008829
US,Total Migration-US,97,04,AZ,Arizona,72087,136285,2934691
FO,Total Migration-Foreign,98,04,AZ,Arizona,2434,4489,74138
AZ,AZ Non-migrants,04,04,AZ,Arizona,1665354,3701417,80935636
CA,California,06,04,AZ,Arizona,13916,25091,543201
TX,Texas,48,04,AZ,Arizona,5589,11581,243801
CO,Colorado,08,04,AZ,Arizona,4048,7555,171533
NM,New Mexico,35,04,AZ,Arizona,3784,8524,114012
WA,Washington,53,04,AZ,Arizona,3414,6201,143810
NV,Nevada,32,04,AZ,Arizona,2950,5568,122176
FL,Florida,12,04,AZ,Arizona,2811,5008,113077
IL,Illinois,17,04,AZ,Arizona,2514,4380,122182
FR,Foreign,57,04,AZ,Arizona,2434,4489,74138
OR,Oregon,41,04,AZ,Arizona,2265,4101,87876
UT,Utah,49,04,AZ,Arizona,1830,4055,62873
MI,Michigan,26,04,AZ,Arizona,1716,3128,67974
NY,New York,36,04,AZ,Arizona,1696,2794,61697
OH,Ohio,39,04,AZ,Arizona,1529,2814,60570
MN,Minnesota,27,04,AZ,Arizona,1374,2390,70145
VA,Virginia,51,04,AZ,Arizona,1331,2629,67171
MO,Missouri,29,04,AZ,Arizona,1287,2615,53256
PA,Pennsylvania,42,04,AZ,Arizona,1280,2253,53864
NC,North Carolina,37,04,AZ,Arizona,1270,2517,53051
GA,Georgia,13,04,AZ,Arizona,1220,2440,54792
WI,Wisconsin,55,04,AZ,Arizona,1199,2179,48857
IN,Indiana,18,04,AZ,Arizona,1032,1915,48565
OK,Oklahoma,40,04,AZ,Arizona,995,2026,33924
ID,Idaho,16,04,AZ,Arizona,889,1861,30844
IA,Iowa,19,04,AZ,Arizona,858,1557,31590
MD,Maryland,24,04,AZ,Arizona,821,1555,40543
KS,Kansas,20,04,AZ,Arizona,816,1691,32018
MA,Massachusetts,25,04,AZ,Arizona,809,1273,36453
