y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,00,,,2996377,5643682,129790470
US,Total Migration-US,97,00,,,2871554,5416537,125194463
FO,Total Migration-Foreign,98,00,,,124823,227145,4596007
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,40022,80610,1443893
US,Total Migration-US,97,01,AL,Alabama,38563,77749,1395446
FO,Total Migration-Foreign,98,01,AL,Alabama,1459,2861,48447
AL,AL Non-migrants,01,01,AL,Alabama,1499461,3389383,63437492
GA,Georgia,13,01,AL,Alabama,7336,14739,247355
FL,Florida,12,01,AL,Alabama,5786,11242,198889
TN,Tennessee,47,01,AL,Alabama,3353,6727,124795
TX,Texas,48,01,AL,Alabama,2715,5671,102849
MS,Mississippi,28,01,AL,Alabama,2324,4865,78947
NC,North Carolina,37,01,AL,Alabama,1506,3118,57049
FR,Foreign,57,01,AL,Alabama,1459,2861,48447
VA,Virginia,51,01,AL,Alabama,1356,2905,60458
CA,California,06,01,AL,Alabama,1262,2363,46849
LA,Louisiana,22,01,AL,Alabama,1235,2514,46240
SC,South Carolina,45,01,AL,Alabama,841,1737,34683
OH,Ohio,39,01,AL,Alabama,787,1621,27123
KY,Kentucky,21,01,AL,Alabama,711,1473,24800
NY,New York,36,01,AL,Alabama,702,1271,21901
IL,Illinois,17,01,AL,Alabama,689,1412,26276
MI,Michigan,26,01,AL,Alabama,600,1188,17968
MO,Missouri,29,01,AL,Alabama,534,1115,19658
IN,Indiana,18,01,AL,Alabama,500,1060,16087
CO,Colorado,08,01,AL,Alabama,494,980,18072
MD,Maryland,24,01,AL,Alabama,473,901,18992
PA,Pennsylvania,42,01,AL,Alabama,457,938,17841
AZ,Arizona,04,01,AL,Alabama,455,872,19051
AR,Arkansas,05,01,AL,Alabama,428,909,16292
WA,Washington,53,01,AL,Alabama,392,807,17140
OK,Oklahoma,40,01,AL,Alabama,368,773,12214
NJ,New Jersey,34,01,AL,Alabama,253,495,10679
KS,Kansas,20,01,AL,Alabama,246,560,9536
WI,Wisconsin,55,01,AL,Alabama,207,442,7512
HI,Hawaii,15,01,AL,Alabama,204,480,7926
NV,Nevada,32,01,AL,Alabama,204,395,7469
NM,New Mexico,35,01,AL,Alabama,196,377,7457
MA,Massachusetts,25,01,AL,Alabama,187,353,8203
AK,Alaska,02,01,AL,Alabama,178,381,5725
MN,Minnesota,27,01,AL,Alabama,171,315,6341
CT,Connecticut,09,01,AL,Alabama,161,299,7003
OR,Oregon,41,01,AL,Alabama,158,283,6934
WV,West Virginia,54,01,AL,Alabama,134,273,4618
IA,Iowa,19,01,AL,Alabama,116,229,4241
UT,Utah,49,01,AL,Alabama,115,234,3627
NE,Nebraska,31,01,AL,Alabama,109,262,4248
DC,District of Columbia,11,01,AL,Alabama,86,111,3170
MT,Montana,30,01,AL,Alabama,78,164,2408
ID,Idaho,16,01,AL,Alabama,68,150,2875
NH,New Hampshire,33,01,AL,Alabama,57,115,2727
ND,North Dakota,38,01,AL,Alabama,54,113,1809
ME,Maine,23,01,AL,Alabama,51,104,1780
DE,Delaware,10,01,AL,Alabama,50,94,1925
WY,Wyoming,56,01,AL,Alabama,50,88,1630
VT,Vermont,50,01,AL,Alabama,47,71,1575
SD,South Dakota,46,01,AL,Alabama,42,92,1288
RI,Rhode Island,44,01,AL,Alabama,37,68,1207
US+FO,Total Migration-US and Foreign,96,02,AK,Alaska,14417,29636,564248
US,Total Migration-US,97,02,AK,Alaska,13953,28697,547391
FO,Total Migration-Foreign,98,02,AK,Alaska,464,939,16856
AK,AK Non-migrants,02,02,AK,Alaska,215850,474222,11530404
WA,Washington,53,02,AK,Alaska,1777,3379,71648
CA,California,06,02,AK,Alaska,1425,2620,47494
TX,Texas,48,02,AK,Alaska,961,2246,50704
OR,Oregon,41,02,AK,Alaska,863,1532,32068
AZ,Arizona,04,02,AK,Alaska,679,1266,26296
FL,Florida,12,02,AK,Alaska,650,1407,23867
CO,Colorado,08,02,AK,Alaska,515,981,20822
FR,Foreign,57,02,AK,Alaska,464,939,16856
NV,Nevada,32,02,AK,Alaska,409,779,16505
ID,Idaho,16,02,AK,Alaska,381,852,16914
VA,Virginia,51,02,AK,Alaska,370,887,16288
GA,Georgia,13,02,AK,Alaska,336,845,11957
NC,North Carolina,37,02,AK,Alaska,322,786,11510
HI,Hawaii,15,02,AK,Alaska,300,567,9951
MT,Montana,30,02,AK,Alaska,297,603,12058
NM,New Mexico,35,02,AK,Alaska,284,610,11486
NY,New York,36,02,AK,Alaska,246,463,7798
UT,Utah,49,02,AK,Alaska,246,520,8530
OK,Oklahoma,40,02,AK,Alaska,241,561,11060
MO,Missouri,29,02,AK,Alaska,235,552,9334
OH,Ohio,39,02,AK,Alaska,216,419,8198
MI,Michigan,26,02,AK,Alaska,215,431,8317
MN,Minnesota,27,02,AK,Alaska,203,369,7184
LA,Louisiana,22,02,AK,Alaska,185,427,7022
IL,Illinois,17,02,AK,Alaska,181,368,7096
WI,Wisconsin,55,02,AK,Alaska,170,339,7441
TN,Tennessee,47,02,AK,Alaska,158,383,6371
SC,South Carolina,45,02,AK,Alaska,154,343,5960
PA,Pennsylvania,42,02,AK,Alaska,148,277,5477
AL,Alabama,01,02,AK,Alaska,140,351,5490
MD,Maryland,24,02,AK,Alaska,136,327,5462
AR,Arkansas,05,02,AK,Alaska,119,268,4170
KY,Kentucky,21,02,AK,Alaska,119,283,5228
ND,North Dakota,38,02,AK,Alaska,117,245,4238
MA,Massachusetts,25,02,AK,Alaska,115,187,4463
KS,Kansas,20,02,AK,Alaska,109,258,4270
WY,Wyoming,56,02,AK,Alaska,105,217,4578
ME,Maine,23,02,AK,Alaska,95,183,3543
MS,Mississippi,28,02,AK,Alaska,95,226,3209
NJ,New Jersey,34,02,AK,Alaska,84,184,2812
SD,South Dakota,46,02,AK,Alaska,83,182,3351
IN,Indiana,18,02,AK,Alaska,81,178,2959
NE,Nebraska,31,02,AK,Alaska,76,182,2955
IA,Iowa,19,02,AK,Alaska,71,153,2523
VT,Vermont,50,02,AK,Alaska,46,80,1495
CT,Connecticut,09,02,AK,Alaska,45,80,1162
NH,New Hampshire,33,02,AK,Alaska,43,82,1670
DC,District of Columbia,11,02,AK,Alaska,35,66,1982
WV,West Virginia,54,02,AK,Alaska,33,70,957
DE,Delaware,10,02,AK,Alaska,22,51,913
RI,Rhode Island,44,02,AK,Alaska,17,32,608
US+FO,Total Migration-US and Foreign,96,04,AZ,Arizona,71541,135997,2740649
US,Total Migration-US,97,04,AZ,Arizona,69136,131587,2659543
FO,Total Migration-Foreign,98,04,AZ,Arizona,2405,4410,81107
AZ,AZ Non-migrants,04,04,AZ,Arizona,1695670,3800671,80899227
CA,California,06,04,AZ,Arizona,13446,24509,508403
TX,Texas,48,04,AZ,Arizona,5366,10919,238931
NM,New Mexico,35,04,AZ,Arizona,3582,8024,103577
CO,Colorado,08,04,AZ,Arizona,3573,6789,150405
WA,Washington,53,04,AZ,Arizona,3059,5628,116194
NV,Nevada,32,04,AZ,Arizona,2960,5641,114167
FL,Florida,12,04,AZ,Arizona,2956,5438,121102
FR,Foreign,57,04,AZ,Arizona,2405,4410,81107
IL,Illinois,17,04,AZ,Arizona,2395,4187,96660
OR,Oregon,41,04,AZ,Arizona,2172,4017,80293
NY,New York,36,04,AZ,Arizona,1734,2792,60056
UT,Utah,49,04,AZ,Arizona,1718,3903,57072
MI,Michigan,26,04,AZ,Arizona,1547,2853,56062
OH,Ohio,39,04,AZ,Arizona,1432,2613,55424
VA,Virginia,51,04,AZ,Arizona,1338,2556,62036
PA,Pennsylvania,42,04,AZ,Arizona,1309,2292,53264
MN,Minnesota,27,04,AZ,Arizona,1294,2306,55753
MO,Missouri,29,04,AZ,Arizona,1241,2401,44140
GA,Georgia,13,04,AZ,Arizona,1180,2433,50849
WI,Wisconsin,55,04,AZ,Arizona,1128,2042,43722
NC,North Carolina,37,04,AZ,Arizona,1087,2234,46401
IN,Indiana,18,04,AZ,Arizona,1018,1963,37523
