"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","US Total Mig - US & For",3288244,6299458,159921258
"00","000","97","000","US","US Total Mig - US",3185724,6107560,155248779
"00","000","98","000","US","US Total Mig - Foreign",102520,191898,4672479
"01","000","96","000","AL","AL Total Mig - US & For",39847,80496,1671055
"01","000","97","000","AL","AL Total Mig - US",38709,78087,1623616
"01","000","98","000","AL","AL Total Mig - Foreign",1138,2409,47439
"01","000","01","000","AL","AL Non-Migrants",1507515,3400241,73090981
"01","000","13","000","GA","GEORGIA",7123,14272,261764
"01","000","12","000","FL","FLORIDA",5701,10923,249706
"01","000","47","000","TN","TENNESSEE",3521,7088,147477
"01","000","48","000","TX","TEXAS",2745,5923,121063
"01","000","28","000","MS","MISSISSIPPI",2064,4366,75083
"01","000","37","000","NC","NORTH CAROLINA",1671,3345,71977
"01","000","06","000","CA","CALIFORNIA",1343,2414,59719
"01","000","51","000","VA","VIRGINIA",1238,2762,65085
"01","000","57","000","FR","Foreign",1138,2409,47439
"01","000","22","000","LA","LOUISIANA",955,1957,37549
"01","000","45","000","SC","SOUTH CAROLINA",872,1772,37012
"01","000","17","000","IL","ILLINOIS",829,1627,35735
"01","000","39","000","OH","OHIO",776,1563,33804
"01","000","36","000","NY","NEW YORK",775,1408,28175
"01","000","29","000","MO","MISSOURI",695,1455,36090
"01","000","21","000","KY","KENTUCKY",669,1397,26275
"01","000","26","000","MI","MICHIGAN",589,1178,22587
"01","000","08","000","CO","COLORADO",519,1090,24772
"01","000","18","000","IN","INDIANA",506,1060,20087
"01","000","04","000","AZ","ARIZONA",491,980,21175
"01","000","05","000","AR","ARKANSAS",459,979,20362
"01","000","42","000","PA","PENNSYLVANIA",458,898,20534
"01","000","24","000","MD","MARYLAND",456,895,19384
"01","000","53","000","WA","WASHINGTON",428,856,17933
"01","000","40","000","OK","OKLAHOMA",356,766,15276
"01","000","15","000","HI","HAWAII",294,651,11457
"01","000","34","000","NJ","NEW JERSEY",261,500,11689
"01","000","20","000","KS","KANSAS",258,578,11021
"01","000","32","000","NV","NEVADA",233,444,9431
"01","000","55","000","WI","WISCONSIN",216,405,10278
"01","000","25","000","MA","MASSACHUSETTS",209,382,8576
"01","000","27","000","MN","MINNESOTA",209,435,9915
"01","000","02","000","AK","ALASKA",187,433,7571
"01","000","35","000","NM","NEW MEXICO",177,378,8686
"01","000","41","000","OR","OREGON",160,303,7321
"01","000","49","000","UT","UTAH",155,351,6395
"01","000","19","000","IA","IOWA",140,276,5479
"01","000","54","000","WV","WEST VIRGINIA",134,308,6148
"01","000","09","000","CT","CONNECTICUT",122,224,12439
"01","000","31","000","NE","NEBRASKA",116,253,5755
"01","000","11","000","DC","DISTRICT OF COLUMBIA",92,135,4605
"01","000","16","000","ID","IDAHO",77,199,3691
"01","000","30","000","MT","MONTANA",72,136,2610
"01","000","56","000","WY","WYOMING",64,135,2372
"01","000","23","000","ME","MAINE",58,133,2130
"01","000","10","000","DE","DELAWARE",56,99,1279
"01","000","33","000","NH","NEW HAMPSHIRE",47,98,1891
"01","000","46","000","SD","SOUTH DAKOTA",40,86,1330
"01","000","38","000","ND","NORTH DAKOTA",35,61,1023
"01","000","50","000","VT","VERMONT",34,72,1166
"01","000","44","000","RI","RHODE ISLAND",24,38,734
"02","000","96","000","AK","AK Total Mig - US & For",15599,31331,625641
"02","000","97","000","AK","AK Total Mig - US",14990,30159,604711
"02","000","98","000","AK","AK Total Mig - Foreign",609,1172,20931
"02","000","02","000","AK","AK Non-Migrants",226280,489608,13057848
"02","000","53","000","WA","WASHINGTON",1972,3753,84330
"02","000","06","000","CA","CALIFORNIA",1381,2421,44717
"02","000","48","000","TX","TEXAS",1039,2396,54042
"02","000","41","000","OR","OREGON",929,1603,35244
"02","000","12","000","FL","FLORIDA",730,1462,26901
"02","000","04","000","AZ","ARIZONA",691,1309,30908
"02","000","57","000","FR","Foreign",609,1172,20931
"02","000","08","000","CO","COLORADO",496,953,21091
"02","000","32","000","NV","NEVADA",462,859,20056
"02","000","16","000","ID","IDAHO",446,931,18072
"02","000","37","000","NC","NORTH CAROLINA",416,965,15372
"02","000","51","000","VA","VIRGINIA",390,856,18570
"02","000","13","000","GA","GEORGIA",327,798,12474
"02","000","30","000","MT","MONTANA",320,588,13220
"02","000","15","000","HI","HAWAII",319,645,13168
"02","000","36","000","NY","NEW YORK",282,548,9226
"02","000","49","000","UT","UTAH",276,620,11411
"02","000","35","000","NM","NEW MEXICO",269,535,10841
"02","000","40","000","OK","OKLAHOMA",255,648,10937
"02","000","27","000","MN","MINNESOTA",235,418,8318
"02","000","26","000","MI","MICHIGAN",222,428,8276
"02","000","39","000","OH","OHIO",212,426,7232
"02","000","17","000","IL","ILLINOIS",201,352,7688
"02","000","42","000","PA","PENNSYLVANIA",201,369,6917
"02","000","29","000","MO","MISSOURI",186,437,7148
"02","000","45","000","SC","SOUTH CAROLINA",181,442,7305
"02","000","55","000","WI","WISCONSIN",178,334,7516
"02","000","47","000","TN","TENNESSEE",172,354,7924
"02","000","01","000","AL","ALABAMA",170,404,6633
"02","000","05","000","AR","ARKANSAS",162,358,6990
"02","000","24","000","MD","MARYLAND",160,327,6707
"02","000","22","000","LA","LOUISIANA",158,356,5899
"02","000","20","000","KS","KANSAS",136,293,5022
"02","000","18","000","IN","INDIANA",129,258,4894
"02","000","25","000","MA","MASSACHUSETTS",128,243,4532
"02","000","56","000","WY","WYOMING",122,258,5250
"02","000","21","000","KY","KENTUCKY",116,252,4415
"02","000","46","000","SD","SOUTH DAKOTA",112,255,4398
"02","000","19","000","IA","IOWA",108,217,3910
"02","000","38","000","ND","NORTH DAKOTA",96,245,3544
"02","000","23","000","ME","MAINE",91,181,3457
"02","000","34","000","NJ","NEW JERSEY",90,199,3421
"02","000","31","000","NE","NEBRASKA",89,199,3586
"02","000","28","000","MS","MISSISSIPPI",80,183,3160
"02","000","09","000","CT","CONNECTICUT",50,86,1864
"02","000","50","000","VT","VERMONT",46,90,1891
"02","000","54","000","WV","WEST VIRGINIA",41,79,1487
"02","000","33","000","NH","NEW HAMPSHIRE",39,69,1257
"02","000","11","000","DC","DISTRICT OF COLUMBIA",36,54,2271
"02","000","10","000","DE","DELAWARE",24,68,672
"02","000","44","000","RI","RHODE ISLAND",19,35,544
"04","000","96","000","AZ","AZ Total Mig - US & For",75082,146333,3443810
"04","000","97","000","AZ","AZ Total Mig - US",73142,142620,3357952
"04","000","98","000","AZ","AZ Total Mig - Foreign",1940,3713,85858
"04","000","04","000","AZ","AZ Non-Migrants",1810226,4086665,102703805
"04","000","06","000","CA","CALIFORNIA",12431,22625,540133
"04","000","48","000","TX","TEXAS",6445,13865,314285
"04","000","08","000","CO","COLORADO",3998,7920,204879
"04","000","53","000","WA","WASHINGTON",3571,6708,176391
"04","000","35","000","NM","NEW MEXICO",3533,7595,132164
"04","000","32","000","NV","NEVADA",3269,6215,194724
"04","000","12","000","FL","FLORIDA",2708,4964,126476
"04","000","17","000","IL","ILLINOIS",2567,4468,118048
"04","000","41","000","OR","OREGON",2377,4429,98873
"04","000","49","000","UT","UTAH",2272,5512,98389
"04","000","57","000","FR","Foreign",1940,3713,85858
"04","000","36","000","NY","NEW YORK",1708,2855,70834
"04","000","37","000","NC","NORTH CAROLINA",1578,3253,79469
"04","000","39","000","OH","OHIO",1505,2889,63473
"04","000","29","000","MO","MISSOURI",1475,2978,59206
"04","000","27","000","MN","MINNESOTA",1414,2523,67740
"04","000","51","000","VA","VIRGINIA",1359,2756,71823
"04","000","26","000","MI","MICHIGAN",1350,2442,56612
"04","000","13","000","GA","GEORGIA",1257,2676,57884
"04","000","42","000","PA","PENNSYLVANIA",1244,2264,62297
"04","000","16","000","ID","IDAHO",1216,2774,55858
"04","000","55","000","WI","WISCONSIN",1169,2136,54013
"04","000","18","000","IN","INDIANA",1126,2309,44890
"04","000","40","000","OK","OKLAHOMA",1057,2213,40120
"04","000","47","000","TN","TENNESSEE",957,1976,43134
"04","000","19","000","IA","IOWA",862,1665,34883
"04","000","20","000","KS","KANSAS",837,1743,36451
"04","000","25","000","MA","MASSACHUSETTS",737,1179,31505
"04","000","24","000","MD","MARYLAND",675,1298,33454
"04","000","15","000","HI","HAWAII",672,1265,27153
"04","000","05","000","AR","ARKANSAS",649,1307,25664
"04","000","34","000","NJ","NEW JERSEY",639,1133,35554
"04","000","30","000","MT","MONTANA",638,1222,26198
"04","000","31","000","NE","NEBRASKA",621,1230,24307
"04","000","45","000","SC","SOUTH CAROLINA",567,1198,25192
"04","000","02","000","AK","ALASKA",522,979,26346
"04","000","21","000","KY","KENTUCKY",513,1050,24078
"04","000","01","000","AL","ALABAMA",505,1182,25176
"04","000","56","000","WY","WYOMING",459,889,31806
"04","000","46","000","SD","SOUTH DAKOTA",411,757,18127
"04","000","22","000","LA","LOUISIANA",365,721,12044
"04","000","09","000","CT","CONNECTICUT",357,607,24034
"04","000","33","000","NH","NEW HAMPSHIRE",250,475,12163
"04","000","28","000","MS","MISSISSIPPI",236,513,9226
"04","000","38","000","ND","NORTH DAKOTA",213,416,8146
"04","000","23","000","ME","MAINE",202,351,6334
"04","000","54","000","WV","WEST VIRGINIA",163,323,6143
"04","000","11","000","DC","DISTRICT OF COLUMBIA",143,199,6455
"04","000","50","000","VT","VERMONT",130,225,4746
"04","000","10","000","DE","DELAWARE",96,162,5644
"04","000","44","000","RI","RHODE ISLAND",94,186,5408
"05","000","96","000","AR","AR Total Mig - US & For",27990,57478,1017365
"05","000","97","000","AR","AR Total Mig - US",27455,56466,999791
"05","000","98","000","AR","AR Total Mig - Foreign",535,1012,17574
"05","000","05","000","AR","AR Non-Migrants",892539,2014007,39990447
"05","000","48","000","TX","TEXAS",5276,10997,183071
"05","000","29","000","MO","MISSOURI",2795,5774,89834
"05","000","40","000","OK","OKLAHOMA",2742,6134,82936
"05","000","47","000","TN","TENNESSEE",1879,3807,76373
"05","000","12","000","FL","FLORIDA",1365,2625,56563
"05","000","06","000","CA","CALIFORNIA",1277,2419,42279
"05","000","22","000","LA","LOUISIANA",1090,2228,33353
"05","000","28","000","MS","MISSISSIPPI",893,1938,28540
"05","000","17","000","IL","ILLINOIS",819,1688,32892
"05","000","13","000","GA","GEORGIA",768,1631,31123
"05","000","20","000","KS","KANSAS",600,1235,21629
"05","000","57","000","FR","Foreign",535,1012,17574
"05","000","01","000","AL","ALABAMA",522,1137,20284
"05","000","08","000","CO","COLORADO",519,1014,17936
"05","000","37","000","NC","NORTH CAROLINA",519,1047,19630
"05","000","51","000","VA","VIRGINIA",486,945,20999
"05","000","04","000","AZ","ARIZONA",484,947,17922
"05","000","18","000","IN","INDIANA",386,802,12880
"05","000","53","000","WA","WASHINGTON",362,750,24775
