"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","US Total Mig - US & For","2952910","5756529","108134494"
"00","000","97","000","US","US Total Mig - US","2839414","5535903","104811281"
"00","000","98","000","US","US Total Mig - Foreign","113496","220626","3323214"
"01","000","96","000","AL","AL Total Mig - US & For","42206","87804","1343743"
"01","000","97","000","AL","AL Total Mig - US","40475","84157","1299287"
"01","000","98","000","AL","AL Total Mig - Foreign","1731","3647","44457"
"01","000","01","000","AL","AL Non-Migrants","1447841","3315932","51607827"
"01","000","13","000","GA","GEORGIA","7302","14795","217712"
"01","000","12","000","FL","FLORIDA","5787","11727","190489"
"01","000","47","000","TN","TENNESSEE","3626","7327","120481"
"01","000","48","000","TX","TEXAS","2903","6355","92850"
"01","000","28","000","MS","MISSISSIPPI","2565","5382","72333"
"01","000","37","000","NC","NORTH CAROLINA","1802","3663","58602"
"01","000","57","000","FR","Foreign - Total","1731","3647","44457"
"01","000","06","000","CA","CALIFORNIA","1403","2664","41163"
"01","000","22","000","LA","LOUISIANA","1307","2822","45589"
"01","000","51","000","VA","VIRGINIA","1270","2822","49284"
"01","000","39","000","OH","OHIO","949","2054","37366"
"01","000","45","000","SC","SOUTH CAROLINA","890","1921","31967"
"01","000","17","000","IL","ILLINOIS","836","1744","28264"
"01","000","21","000","KY","KENTUCKY","782","1709","24700"
"01","000","26","000","MI","MICHIGAN","699","1421","18262"
"01","000","36","000","NY","NEW YORK","674","1266","14841"
"01","000","18","000","IN","INDIANA","592","1269","16629"
"01","000","08","000","CO","COLORADO","583","1259","21327"
"01","000","29","000","MO","MISSOURI","483","1063","15439"
"01","000","53","000","WA","WASHINGTON","474","1033","17028"
"01","000","04","000","AZ","ARIZONA","458","952","14808"
"01","000","42","000","PA","PENNSYLVANIA","433","910","16442"
"01","000","05","000","AR","ARKANSAS","430","934","13610"
"01","000","40","000","OK","OKLAHOMA","401","888","10863"
"01","000","24","000","MD","MARYLAND","390","746","13016"
"01","000","20","000","KS","KANSAS","333","796","11760"
"01","000","34","000","NJ","NEW JERSEY","266","543","8948"
"01","000","15","000","HI","HAWAII","244","564","6946"
"01","000","25","000","MA","MASSACHUSETTS","225","438","8130"
"01","000","55","000","WI","WISCONSIN","214","450","6907"
"01","000","35","000","NM","NEW MEXICO","195","390","6006"
"01","000","32","000","NV","NEVADA","176","346","4985"
"01","000","41","000","OR","OREGON","169","311","5268"
"01","000","09","000","CT","CONNECTICUT","161","333","6057"
"01","000","19","000","IA","IOWA","156","370","5385"
"01","000","27","000","MN","MINNESOTA","156","327","5458"
"01","000","54","000","WV","WEST VIRGINIA","156","365","5483"
"01","000","02","000","AK","ALASKA","155","394","5081"
"01","000","31","000","NE","NEBRASKA","129","307","4316"
"01","000","49","000","UT","UTAH","122","283","4609"
"01","000","11","000","DC","DISTRICT OF COLUMBIA","77","108","1886"
"01","000","30","000","MT","MONTANA","64","129","2371"
"01","000","33","000","NH","NEW HAMPSHIRE","62","132","3032"
"01","000","23","000","ME","MAINE","61","153","2303"
"01","000","16","000","ID","IDAHO","59","134","1587"
"01","000","10","000","DE","DELAWARE","56","128","2194"
"01","000","38","000","ND","NORTH DAKOTA","54","135","1639"
"01","000","56","000","WY","WYOMING","50","92","2817"
"01","000","44","000","RI","RHODE ISLAND","43","99","1583"
"01","000","46","000","SD","SOUTH DAKOTA","29","60","716"
"01","000","50","000","VT","VERMONT","24","44","756"
"02","000","96","000","AK","AK Total Mig - US & For","15190","31979","505127"
"02","000","97","000","AK","AK Total Mig - US","14764","31069","491836"
"02","000","98","000","AK","AK Total Mig - Foreign","426","910","13292"
"02","000","02","000","AK","AK Non-Migrants","193237","438866","9075750"
"02","000","53","000","WA","WASHINGTON","2316","4582","84410"
"02","000","06","000","CA","CALIFORNIA","1423","2554","40404"
"02","000","41","000","OR","OREGON","1043","2013","34312"
"02","000","48","000","TX","TEXAS","906","2168","41760"
"02","000","12","000","FL","FLORIDA","616","1293","20099"
"02","000","04","000","AZ","ARIZONA","592","1162","19967"
"02","000","08","000","CO","COLORADO","572","1114","18574"
"02","000","57","000","FR","Foreign - Total","426","910","13292"
"02","000","16","000","ID","IDAHO","412","882","13720"
"02","000","13","000","GA","GEORGIA","378","960","11089"
"02","000","51","000","VA","VIRGINIA","369","878","13065"
"02","000","37","000","NC","NORTH CAROLINA","362","865","10560"
"02","000","32","000","NV","NEVADA","355","667","14962"
"02","000","36","000","NY","NEW YORK","286","644","7501"
"02","000","26","000","MI","MICHIGAN","284","571","8267"
"02","000","30","000","MT","MONTANA","268","530","8363"
"02","000","35","000","NM","NEW MEXICO","250","569","7884"
"02","000","27","000","MN","MINNESOTA","245","463","7340"
"02","000","47","000","TN","TENNESSEE","244","597","8508"
"02","000","40","000","OK","OKLAHOMA","243","612","8284"
"02","000","29","000","MO","MISSOURI","225","515","6033"
"02","000","39","000","OH","OHIO","213","440","6422"
"02","000","49","000","UT","UTAH","210","450","7019"
"02","000","17","000","IL","ILLINOIS","208","440","6644"
"02","000","15","000","HI","HAWAII","193","445","6563"
"02","000","22","000","LA","LOUISIANA","173","414","5996"
"02","000","24","000","MD","MARYLAND","170","394","5357"
"02","000","01","000","AL","ALABAMA","164","404","5169"
"02","000","55","000","WI","WISCONSIN","159","319","5034"
"02","000","42","000","PA","PENNSYLVANIA","149","286","4515"
"02","000","20","000","KS","KANSAS","138","356","5380"
"02","000","21","000","KY","KENTUCKY","126","302","3629"
"02","000","05","000","AR","ARKANSAS","125","308","4428"
"02","000","18","000","IN","INDIANA","125","261","3497"
"02","000","45","000","SC","SOUTH CAROLINA","123","304","3531"
"02","000","25","000","MA","MASSACHUSETTS","106","182","2586"
"02","000","38","000","ND","NORTH DAKOTA","104","255","3399"
"02","000","28","000","MS","MISSISSIPPI","97","197","3094"
"02","000","56","000","WY","WYOMING","97","216","3461"
"02","000","31","000","NE","NEBRASKA","95","230","3081"
"02","000","46","000","SD","SOUTH DAKOTA","92","200","3124"
"02","000","19","000","IA","IOWA","89","170","2518"
"02","000","33","000","NH","NEW HAMPSHIRE","81","153","2287"
"02","000","34","000","NJ","NEW JERSEY","81","192","2217"
"02","000","23","000","ME","MAINE","61","134","2074"
"02","000","09","000","CT","CONNECTICUT","43","76","1074"
"02","000","54","000","WV","WEST VIRGINIA","41","84","921"
"02","000","10","000","DE","DELAWARE","29","65","796"
"02","000","50","000","VT","VERMONT","29","59","1056"
"02","000","44","000","RI","RHODE ISLAND","28","52","986"
"02","000","11","000","DC","DISTRICT OF COLUMBIA","26","42","874"
"04","000","96","000","AZ","AZ Total Mig - US & For","67133","131875","2151821"
"04","000","97","000","AZ","AZ Total Mig - US","64977","127577","2091708"
"04","000","98","000","AZ","AZ Total Mig - Foreign","2156","4298","60113"
"04","000","04","000","AZ","AZ Non-Migrants","1422504","3204064","56502137"
"04","000","06","000","CA","CALIFORNIA","13607","25056","432267"
"04","000","48","000","TX","TEXAS","4984","10666","201015"
"04","000","08","000","CO","COLORADO","3969","7537","124532"
"04","000","32","000","NV","NEVADA","3267","6494","111161"
"04","000","35","000","NM","NEW MEXICO","3170","7331","76531"
"04","000","53","000","WA","WASHINGTON","2889","5434","98562"
"04","000","12","000","FL","FLORIDA","2255","4233","74178"
"04","000","41","000","OR","OREGON","2178","4269","67330"
"04","000","57","000","FR","Foreign - Total","2156","4298","60113"
"04","000","17","000","IL","ILLINOIS","2120","3739","64737"
"04","000","49","000","UT","UTAH","1803","4298","52695"
"04","000","39","000","OH","OHIO","1406","2712","42821"
"04","000","26","000","MI","MICHIGAN","1403","2607","41285"
"04","000","36","000","NY","NEW YORK","1385","2345","41575"
"04","000","29","000","MO","MISSOURI","1230","2519","37094"
"04","000","51","000","VA","VIRGINIA","1132","2346","42262"
"04","000","27","000","MN","MINNESOTA","1108","2082","47808"
"04","000","37","000","NC","NORTH CAROLINA","1100","2292","34750"
"04","000","13","000","GA","GEORGIA","1073","2172","34720"
"04","000","40","000","OK","OKLAHOMA","993","2114","26385"
"04","000","42","000","PA","PENNSYLVANIA","972","1788","33583"
"04","000","55","000","WI","WISCONSIN","922","1680","26439"
"04","000","18","000","IN","INDIANA","891","1746","25958"
"04","000","20","000","KS","KANSAS","813","1702","24874"
"04","000","16","000","ID","IDAHO","788","1719","22569"
"04","000","47","000","TN","TENNESSEE","767","1665","28938"
"04","000","19","000","IA","IOWA","726","1421","22721"
"04","000","25","000","MA","MASSACHUSETTS","682","1145","24178"
"04","000","34","000","NJ","NEW JERSEY","640","1171","24891"
"04","000","24","000","MD","MARYLAND","525","1017","17195"
"04","000","05","000","AR","ARKANSAS","495","1062","13428"
"04","000","31","000","NE","NEBRASKA","484","971","13703"
"04","000","30","000","MT","MONTANA","459","946","12657"
"04","000","02","000","AK","ALASKA","431","831","12097"
"04","000","21","000","KY","KENTUCKY","430","891","12978"
"04","000","15","000","HI","HAWAII","425","828","11862"
"04","000","01","000","AL","ALABAMA","383","841","11656"
"04","000","22","000","LA","LOUISIANA","383","743","10680"
"04","000","45","000","SC","SOUTH CAROLINA","383","859","14940"
"04","000","56","000","WY","WYOMING","382","759","13267"
"04","000","09","000","CT","CONNECTICUT","355","627","17575"
"04","000","46","000","SD","SOUTH DAKOTA","280","523","7402"
"04","000","28","000","MS","MISSISSIPPI","238","504","5503"
"04","000","33","000","NH","NEW HAMPSHIRE","215","407","5828"
"04","000","38","000","ND","NORTH DAKOTA","192","352","5012"
"04","000","23","000","ME","MAINE","162","275","3762"
"04","000","50","000","VT","VERMONT","116","202","4600"
"04","000","54","000","WV","WEST VIRGINIA","114","223","3268"
"04","000","44","000","RI","RHODE ISLAND","96","161","2725"
"04","000","11","000","DC","DISTRICT OF COLUMBIA","91","115","3207"
"04","000","10","000","DE","DELAWARE","65","157","2504"
"05","000","96","000","AR","AR Total Mig - US & For","29635","62576","814878"
"05","000","97","000","AR","AR Total Mig - US","29034","61452","802459"
"05","000","98","000","AR","AR Total Mig - Foreign","601","1124","12419"
"05","000","05","000","AR","AR Non-Migrants","829981","1900916","26886744"
"05","000","48","000","TX","TEXAS","5552","11677","154347"
"05","000","40","000","OK","OKLAHOMA","2854","6477","63375"
"05","000","29","000","MO","MISSOURI","2736","5905","63487"
"05","000","47","000","TN","TENNESSEE","2267","4621","66289"
"05","000","06","000","CA","CALIFORNIA","1438","2816","30796"
"05","000","22","000","LA","LOUISIANA","1372","3038","39917"
"05","000","12","000","FL","FLORIDA","1332","2663","37927"
"05","000","28","000","MS","MISSISSIPPI","1014","2270","27947"
"05","000","13","000","GA","GEORGIA","869","1887","30920"
"05","000","17","000","IL","ILLINOIS","865","1757","22953"
"05","000","20","000","KS","KANSAS","691","1464","18626"
"05","000","57","000","FR","Foreign - Total","601","1124","12419"
"05","000","37","000","NC","NORTH CAROLINA","540","1141","16313"
"05","000","04","000","AZ","ARIZONA","508","988","11699"
"05","000","26","000","MI","MICHIGAN","496","1027","11051"
"05","000","01","000","AL","ALABAMA","477","1075","14192"
"05","000","51","000","VA","VIRGINIA","463","994","17090"
"05","000","08","000","CO","COLORADO","462","888","13148"
"05","000","18","000","IN","INDIANA","412","925","10905"
"05","000","39","000","OH","OHIO","406","871","11730"
"05","000","53","000","WA","WASHINGTON","399","793","9531"
"05","000","21","000","KY","KENTUCKY","375","849","10468"
"05","000","55","000","WI","WISCONSIN","280","595","8038"
"05","000","19","000","IA","IOWA","278","633","6315"
"05","000","45","000","SC","SOUTH CAROLINA","273","588","10872"
"05","000","36","000","NY","NEW YORK","248","445","10321"
"05","000","32","000","NV","NEVADA","238","508","6702"
"05","000","31","000","NE","NEBRASKA","211","454","5114"
"05","000","27","000","MN","MINNESOTA","205","441","6316"
"05","000","42","000","PA","PENNSYLVANIA","205","452","22429"
"05","000","35","000","NM","NEW MEXICO","201","423","5028"
"05","000","24","000","MD","MARYLAND","172","331","5656"
"05","000","41","000","OR","OREGON","163","326","3676"
"05","000","49","000","UT","UTAH","107","221","3122"
"05","000","34","000","NJ","NEW JERSEY","106","211","3440"
"05","000","02","000","AK","ALASKA","96","230","2647"
"05","000","25","000","MA","MASSACHUSETTS","96","170","2743"
"05","000","16","000","ID","IDAHO","91","218","2732"
"05","000","15","000","HI","HAWAII","87","172","1867"
"05","000","09","000","CT","CONNECTICUT","64","131","2132"
"05","000","30","000","MT","MONTANA","50","100","889"
"05","000","54","000","WV","WEST VIRGINIA","47","113","1190"
"05","000","46","000","SD","SOUTH DAKOTA","46","92","1271"
"05","000","56","000","WY","WYOMING","45","100","1750"
"05","000","23","000","ME","MAINE","38","76","1114"
"05","000","10","000","DE","DELAWARE","36","68","974"
"05","000","38","000","ND","NORTH DAKOTA","36","70","825"
"05","000","33","000","NH","NEW HAMPSHIRE","31","65","1137"
"05","000","11","000","DC","DISTRICT OF COLUMBIA","30","43","783"
"05","000","44","000","RI","RHODE ISLAND","18","32","453"
"05","000","50","000","VT","VERMONT","8","18","212"
"06","000","96","000","CA","CA Total Mig - US & For","247534","501645","9267233"
"06","000","97","000","CA","CA Total Mig - US","233463","475201","8857886"
"06","000","98","000","CA","CA Total Mig - Foreign","14071","26444","409347"
"06","000","06","000","CA","CA Non-Migrants","10179399","22725592","454648189"
"06","000","32","000","NV","NEVADA","20986","42744","796039"
"06","000","48","000","TX","TEXAS","19628","42997","770213"
"06","000","04","000","AZ","ARIZONA","18491","38118","650191"
"06","000","53","000","WA","WASHINGTON","17955","37075","680097"
"06","000","57","000","FR","Foreign - Total","14071","26444","409347"
"06","000","41","000","OR","OREGON","13945","27802","489402"
"06","000","08","000","CO","COLORADO","11458","22917","462396"
"06","000","12","000","FL","FLORIDA","10346","20295","431637"
"06","000","36","000","NY","NEW YORK","8603","13194","367968"
"06","000","17","000","IL","ILLINOIS","7564","15236","307613"
"06","000","51","000","VA","VIRGINIA","6926","15035","285989"
"06","000","13","000","GA","GEORGIA","5974","12998","260695"
"06","000","49","000","UT","UTAH","5565","12670","188698"
"06","000","37","000","NC","NORTH CAROLINA","5223","11229","180505"
"06","000","25","000","MA","MASSACHUSETTS","4546","7437","212550"
"06","000","15","000","HI","HAWAII","4393","8241","139191"
"06","000","26","000","MI","MICHIGAN","4252","8457","153134"
"06","000","39","000","OH","OHIO","4162","8181","165201"
"06","000","29","000","MO","MISSOURI","4018","8245","131247"
"06","000","42","000","PA","PENNSYLVANIA","3644","6999","179784"
"06","000","40","000","OK","OKLAHOMA","3520","7686","95713"
"06","000","16","000","ID","IDAHO","3484","7548","119834"
"06","000","35","000","NM","NEW MEXICO","3428","6675","116310"
"06","000","47","000","TN","TENNESSEE","3342","7076","123042"
"06","000","34","000","NJ","NEW JERSEY","3208","6143","170435"
"06","000","24","000","MD","MARYLAND","3137","6308","133257"
"06","000","27","000","MN","MINNESOTA","3060","6127","127943"
"06","000","18","000","IN","INDIANA","2995","6560","110310"
"06","000","05","000","AR","ARKANSAS","2497","5647","66823"
"06","000","22","000","LA","LOUISIANA","2459","4974","72599"
"06","000","20","000","KS","KANSAS","2348","5186","75156"
"06","000","55","000","WI","WISCONSIN","2264","4753","74031"
"06","000","09","000","CT","CONNECTICUT","1808","3434","115654"
"06","000","31","000","NE","NEBRASKA","1741","3932","48258"
"06","000","19","000","IA","IOWA","1730","3684","47891"
"06","000","45","000","SC","SOUTH CAROLINA","1640","3676","62364"
"06","000","30","000","MT","MONTANA","1622","3175","57844"
"06","000","01","000","AL","ALABAMA","1601","3464","49223"
"06","000","02","000","AK","ALASKA","1596","2995","44347"
"06","000","21","000","KY","KENTUCKY","1439","3042","46372"
"06","000","28","000","MS","MISSISSIPPI","1156","2556","32459"
"06","000","11","000","DC","DISTRICT OF COLUMBIA","957","1334","31597"
"06","000","33","000","NH","NEW HAMPSHIRE","739","1425","39444"
"06","000","56","000","WY","WYOMING","737","1406","24431"
"06","000","44","000","RI","RHODE ISLAND","625","1283","22541"
"06","000","23","000","ME","MAINE","595","1135","29211"
"06","000","46","000","SD","SOUTH DAKOTA","563","1174","17990"
"06","000","38","000","ND","NORTH DAKOTA","424","800","10099"
"06","000","54","000","WV","WEST VIRGINIA","407","831","12128"
"06","000","50","000","VT","VERMONT","353","616","15359"
"06","000","10","000","DE","DELAWARE","309","686","12675"
"08","000","96","000","CO","CO Total Mig - US & For","66357","128729","2249738"
"08","000","97","000","CO","CO Total Mig - US","63985","123557","2188579"
"08","000","98","000","CO","CO Total Mig - Foreign","2372","5172","61159"
"08","000","08","000","CO","CO Non-Migrants","1365445","2945929","59761937"
"08","000","06","000","CA","CALIFORNIA","8188","14262","303128"
"08","000","48","000","TX","TEXAS","6262","13234","220583"
"08","000","04","000","AZ","ARIZONA","4004","7506","137718"
"08","000","12","000","FL","FLORIDA","3108","5724","124518"
"08","000","53","000","WA","WASHINGTON","2536","4769","93064"
"08","000","57","000","FR","Foreign - Total","2372","5172","61159"
"08","000","35","000","NM","NEW MEXICO","2010","3976","57968"
"08","000","17","000","IL","ILLINOIS","1911","3474","62534"
"08","000","20","000","KS","KANSAS","1785","3815","53228"
"08","000","31","000","NE","NEBRASKA","1686","3521","55834"
"08","000","51","000","VA","VIRGINIA","1530","3129","61157"
"08","000","29","000","MO","MISSOURI","1516","3174","46904"
"08","000","32","000","NV","NEVADA","1509","2765","49492"
"08","000","36","000","NY","NEW YORK","1485","2329","44329"
"08","000","40","000","OK","OKLAHOMA","1482","3149","41427"
"08","000","49","000","UT","UTAH","1438","3022","47351"
"08","000","56","000","WY","WYOMING","1413","2930","57417"
"08","000","13","000","GA","GEORGIA","1370","2734","50105"
"08","000","41","000","OR","OREGON","1364","2505","43356"
"08","000","27","000","MN","MINNESOTA","1299","2379","46007"
"08","000","39","000","OH","OHIO","1235","2458","39418"
"08","000","37","000","NC","NORTH CAROLINA","1171","2354","39176"
"08","000","26","000","MI","MICHIGAN","1163","2202","35841"
"08","000","42","000","PA","PENNSYLVANIA","975","1810","30884"
"08","000","25","000","MA","MASSACHUSETTS","960","1479","35423"
"08","000","19","000","IA","IOWA","910","1826","27461"
"08","000","30","000","MT","MONTANA","865","1660","26876"
"08","000","47","000","TN","TENNESSEE","838","1740","30444"
"08","000","18","000","IN","INDIANA","834","1664","27292"
"08","000","55","000","WI","WISCONSIN","801","1535","24440"
"08","000","24","000","MD","MARYLAND","744","1540","32727"
"08","000","16","000","ID","IDAHO","656","1408","21536"
"08","000","34","000","NJ","NEW JERSEY","619","1106","28922"
"08","000","22","000","LA","LOUISIANA","548","1083","14468"
"08","000","01","000","AL","ALABAMA","547","1212","17831"
"08","000","02","000","AK","ALASKA","524","1060","16362"
"08","000","05","000","AR","ARKANSAS","518","1101","16090"
"08","000","15","000","HI","HAWAII","517","1034","14911"
"08","000","21","000","KY","KENTUCKY","484","1039","15058"
"08","000","45","000","SC","SOUTH CAROLINA","482","945","15070"
"08","000","46","000","SD","SOUTH DAKOTA","447","907","14394"
"08","000","09","000","CT","CONNECTICUT","387","612","14217"
"08","000","28","000","MS","MISSISSIPPI","375","731","9996"
"08","000","33","000","NH","NEW HAMPSHIRE","297","548","9729"
"08","000","38","000","ND","NORTH DAKOTA","289","594","8072"
"08","000","23","000","ME","MAINE","223","372","5637"
"08","000","50","000","VT","VERMONT","202","285","4794"
"08","000","11","000","DC","DISTRICT OF COLUMBIA","191","260","6005"
"08","000","54","000","WV","WEST VIRGINIA","143","322","4309"
"08","000","44","000","RI","RHODE ISLAND","89","166","3026"
"08","000","10","000","DE","DELAWARE","55","107","2052"
"09","000","96","000","CT","CT Total Mig - US & For","45841","81848","2495538"
"09","000","97","000","CT","CT Total Mig - US","44364","79016","2425020"
