"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","US Total Mig - US & For","3088637","5801937","139536108"
"00","000","97","000","US","US Total Mig - US","2962865","5573964","134772492"
"00","000","98","000","US","US Total Mig - Foreign","125772","227973","4763616"
"01","000","96","000","AL","AL Total Mig - US & For","43025","86851","1589165"
"01","000","97","000","AL","AL Total Mig - US","41457","83734","1536496"
"01","000","98","000","AL","AL Total Mig - Foreign","1568","3117","52669"
"01","000","01","000","AL","AL Non-Migrants","1506891","3390671","63342589"
"01","000","13","000","GA","GEORGIA","7951","15731","274309"
"01","000","12","000","FL","FLORIDA","6154","11916","225766"
"01","000","47","000","TN","TENNESSEE","3496","7080","136604"
"01","000","48","000","TX","TEXAS","2985","6288","118310"
"01","000","28","000","MS","MISSISSIPPI","2429","5031","79885"
"01","000","37","000","NC","NORTH CAROLINA","1750","3482","67815"
"01","000","57","000","FR","Foreign","1568","3117","52669"
"01","000","51","000","VA","VIRGINIA","1345","2917","59546"
"01","000","22","000","LA","LOUISIANA","1328","2646","46738"
"01","000","06","000","CA","CALIFORNIA","1312","2451","44648"
"01","000","45","000","SC","SOUTH CAROLINA","913","1926","37262"
"01","000","39","000","OH","OHIO","821","1735","27459"
"01","000","17","000","IL","ILLINOIS","806","1637","31934"
"01","000","21","000","KY","KENTUCKY","794","1718","27433"
"01","000","26","000","MI","MICHIGAN","708","1423","22659"
"01","000","36","000","NY","NEW YORK","676","1218","23061"
"01","000","08","000","CO","COLORADO","576","1158","20670"
"01","000","29","000","MO","MISSOURI","567","1132","20510"
"01","000","24","000","MD","MARYLAND","520","1078","22804"
"01","000","18","000","IN","INDIANA","506","1060","20426"
"01","000","42","000","PA","PENNSYLVANIA","491","1006","20132"
"01","000","53","000","WA","WASHINGTON","472","977","19498"
"01","000","04","000","AZ","ARIZONA","465","913","18914"
"01","000","05","000","AR","ARKANSAS","465","1042","16001"
"01","000","40","000","OK","OKLAHOMA","400","840","13341"
"01","000","34","000","NJ","NEW JERSEY","303","561","12805"
"01","000","20","000","KS","KANSAS","272","630","10797"
"01","000","55","000","WI","WISCONSIN","232","483","9256"
"01","000","25","000","MA","MASSACHUSETTS","226","430","12739"
"01","000","15","000","HI","HAWAII","202","468","7225"
"01","000","32","000","NV","NEVADA","190","409","7813"
"01","000","35","000","NM","NEW MEXICO","185","400","7017"
"01","000","41","000","OR","OREGON","172","303","6460"
"01","000","27","000","MN","MINNESOTA","171","326","7028"
"01","000","02","000","AK","ALASKA","166","411","6514"
"01","000","54","000","WV","WEST VIRGINIA","165","367","5430"
"01","000","09","000","CT","CONNECTICUT","157","273","5633"
"01","000","19","000","IA","IOWA","143","348","6735"
"01","000","49","000","UT","UTAH","133","270","5193"
"01","000","31","000","NE","NEBRASKA","121","293","4686"
"01","000","11","000","DC","DISTRICT OF COLUMBIA","96","136","2972"
"01","000","30","000","MT","MONTANA","78","167","2222"
"01","000","56","000","WY","WYOMING","76","149","2483"
"01","000","16","000","ID","IDAHO","74","164","2694"
"01","000","23","000","ME","MAINE","67","153","2772"
"01","000","33","000","NH","NEW HAMPSHIRE","59","98","2577"
"01","000","10","000","DE","DELAWARE","55","111","2010"
"01","000","38","000","ND","NORTH DAKOTA","53","102","1802"
"01","000","46","000","SD","SOUTH DAKOTA","52","117","1908"
"01","000","44","000","RI","RHODE ISLAND","41","89","1849"
"01","000","50","000","VT","VERMONT","38","71","2155"
"02","000","96","000","AK","AK Total Mig - US & For","14052","28522","542571"
"02","000","97","000","AK","AK Total Mig - US","13514","27448","523005"
"02","000","98","000","AK","AK Total Mig - Foreign","538","1074","19566"
"02","000","02","000","AK","AK Non-Migrants","211261","465216","11404252"
"02","000","53","000","WA","WASHINGTON","1825","3487","77805"
"02","000","06","000","CA","CALIFORNIA","1313","2337","41905"
"02","000","41","000","OR","OREGON","886","1574","33142"
"02","000","48","000","TX","TEXAS","886","2065","40354"
"02","000","04","000","AZ","ARIZONA","640","1180","25694"
"02","000","12","000","FL","FLORIDA","604","1299","22141"
"02","000","57","000","FR","Foreign","538","1074","19566"
"02","000","08","000","CO","COLORADO","520","1006","21108"
"02","000","37","000","NC","NORTH CAROLINA","409","958","13244"
"02","000","32","000","NV","NEVADA","383","705","18088"
"02","000","16","000","ID","IDAHO","354","729","15428"
"02","000","13","000","GA","GEORGIA","341","780","11846"
"02","000","51","000","VA","VIRGINIA","315","718","13432"
"02","000","30","000","MT","MONTANA","297","559","11105"
"02","000","36","000","NY","NEW YORK","267","533","8046"
"02","000","15","000","HI","HAWAII","256","515","9688"
"02","000","49","000","UT","UTAH","249","508","8261"
"02","000","35","000","NM","NEW MEXICO","224","477","8292"
