"State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"02","013","96","000","Ak","Total Migration","110","208","0"
"02","013","53","033","Wa","King","11","17","0"
"02","013","02","013","Ak","Non-Migrants","496","1171","0"
"02","016","96","000","Ak","Total Migration","1112","2101","0"
"02","016","57","005","FR","APO / FPO Zip Code","73","121","0"
"02","016","06","073","Ca","San Diego","63","147","0"
"02","016","53","033","Wa","King","63","83","0"
"02","016","02","020","Ak","Anchorage Borough","28","46","0"
"02","016","53","035","Wa","Kitsap","22","65","0"
"02","016","53","053","Wa","Pierce","19","29","0"
"02","016","15","003","Hi","Honolulu","19","48","0"
"02","016","06","037","Ca","Los Angeles","15","25","0"
"02","016","53","029","Wa","Island","15","38","0"
"02","016","51","810","Va","Virginia Beach city","14","39","0"
"02","016","12","033","Fl","Escambia","13","32","0"
"02","016","06","111","Ca","Ventura","12","28","0"
"02","016","02","013","Ak","Aleutians East Borough","12","21","0"
"02","016","48","029","Tx","Bexar","11","20","0"
"02","016","53","063","Wa","Spokane","11","15","0"
"02","016","06","071","Ca","San Bernardino","11","16","0"
"02","016","02","016","Ak","Non-Migrants","1379","3146","0"
"02","020","96","000","Ak","Total Migration","10585","22174","0"
"02","020","02","170","Ak","Matanuska-Susitna Boroug","449","861","0"
"02","020","02","090","Ak","Fairbanks North Star Bor","414","791","0"
"02","020","57","005","FR","APO / FPO Zip Code","368","1046","0"
"02","020","02","122","Ak","Kenai Peninsula Borough","338","582","0"
"02","020","53","033","Wa","King","259","424","0"
"02","020","04","013","Az","Maricopa","218","507","0"
"02","020","06","037","Ca","Los Angeles","148","251","0"
"02","020","02","261","Ak","Valdez-Cordova","134","238","0"
"02","020","02","110","Ak","Juneau Borough","127","228","0"
"02","020","02","150","Ak","Kodiak Island Borough","108","188","0"
"02","020","06","073","Ca","San Diego","90","138","0"
"02","020","12","091","Fl","Okaloosa","89","269","0"
"02","020","37","051","NC","Cumberland","89","237","0"
"02","020","53","053","Wa","Pierce","88","208","0"
"02","020","48","029","Tx","Bexar","84","227","0"
"02","020","02","050","Ak","Bethel","79","169","0"
"02","020","32","003","Nv","Clark","76","159","0"
"02","020","48","201","Tx","Harris","76","181","0"
"02","020","15","003","Hi","Honolulu","72","179","0"
"02","020","06","067","Ca","Sacramento","67","119","0"
"02","020","06","071","Ca","San Bernardino","65","146","0"
"02","020","08","041","Co","El Paso","64","158","0"
"02","020","57","001","FR","Foreign / Overseas","60","108","0"
"02","020","04","019","Az","Pima","60","133","0"
"02","020","53","061","Wa","Snohomish","59","103","0"
"02","020","41","039","Or","Lane","58","109","0"
"02","020","06","059","Ca","Orange","58","96","0"
"02","020","17","031","Il","Cook","55","96","0"
"02","020","53","063","Wa","Spokane","54","130","0"
"02","020","41","051","Or","Multnomah","54","87","0"
"02","020","35","035","NM","Otero","51","138","0"
"02","020","02","188","Ak","Northwest Arctic","51","119","0"
"02","020","12","005","Fl","Bay","51","127","0"
"02","020","12","025","Fl","Dade","48","98","0"
"02","020","06","053","Ca","Monterey","47","119","0"
"02","020","02","016","Ak","Aleutians West","46","99","0"
"02","020","02","180","Ak","Nome","46","99","0"
"02","020","06","065","Ca","Riverside","45","102","0"
"02","020","02","185","Ak","North Slope Borough","45","85","0"
"02","020","37","191","NC","Wayne","44","129","0"
"02","020","48","113","Tx","Dallas","43","73","0"
"02","020","48","439","Tx","Tarrant","42","89","0"
"02","020","49","035","Ut","Salt Lake","39","77","0"
"02","020","02","130","Ak","Ketchikan Gateway Boroug","39","84","0"
"02","020","06","029","Ca","Kern","39","107","0"
"02","020","53","011","Wa","Clark","38","77","0"
"02","020","06","001","Ca","Alameda","38","58","0"
"02","020","48","027","Tx","Bell","37","102","0"
"02","020","05","119","Ar","Pulaski","37","88","0"
"02","020","06","085","Ca","Santa Clara","37","61","0"
"02","020","06","095","Ca","Solano","36","101","0"
"02","020","27","053","Mn","Hennepin","35","52","0"
"02","020","40","109","Ok","Oklahoma","35","74","0"
"02","020","02","070","Ak","Dillingham","34","59","0"
"02","020","40","031","Ok","Comanche","34","107","0"
"02","020","08","031","Co","Denver","33","55","0"
"02","020","48","453","Tx","Travis","33","70","0"
