"State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"01","000","96","000","","TOTAL FLOW","44887","99956","0"
"01","000","13","000","Ga","Georgia","6618","14344","0"
"01","000","12","000","Fl","Florida","6388","13515","0"
"01","000","57","000","FR","Foreign","3012","7421","0"
"01","000","47","000","Tn","Tennessee","3002","6590","0"
"01","000","48","000","Tx","Texas","2819","6595","0"
"01","000","28","000","Ms","Mississippi","2729","6180","0"
"01","000","06","000","Ca","California","1931","4195","0"
"01","000","22","000","La","Louisiana","1639","3807","0"
"01","000","37","000","Nc","North Carolina","1401","3182","0"
"01","000","51","000","Va","Virginia","1310","2964","0"
"01","000","17","000","Il","Illinois","1133","2355","0"
"01","000","39","000","Oh","Ohio","1034","2136","0"
"01","000","36","000","Ny","New York","967","2039","0"
"01","000","26","000","Mi","Michigan","925","1977","0"
"01","000","45","000","Sc","South Carolina","884","1986","0"
"01","000","21","000","Ky","Kentucky","726","1632","0"
"01","000","18","000","In","Indiana","666","1413","0"
"01","000","42","000","Pa","Pennsylvania","607","1300","0"
"01","000","29","000","Mo","Missouri","559","1232","0"
"01","000","24","000","Md","Maryland","513","1111","0"
"01","000","05","000","Ar","Arkansas","498","1193","0"
"01","000","34","000","Nj","New Jersey","473","1017","0"
"01","000","40","000","Ok","Oklahoma","449","1106","0"
"01","000","08","000","Co","Colorado","439","966","0"
"01","000","20","000","Ks","Kansas","399","970","0"
"01","000","53","000","Wa","Washington","394","905","0"
"01","000","25","000","Ma","Massachusetts","357","753","0"
"01","000","04","000","Az","Arizona","332","804","0"
"01","000","09","000","Ct","Connecticut","269","546","0"
"01","000","15","000","Hi","Hawaii","261","673","0"
"01","000","55","000","Wi","Wisconsin","218","457","0"
"01","000","27","000","Mn","Minnesota","166","371","0"
"01","000","54","000","Wv","West Virginia","160","345","0"
"01","000","02","000","Ak","Alaska","154","425","0"
"01","000","35","000","Nm","New Mexico","150","379","0"
"01","000","31","000","Ne","Nebraska","144","387","0"
"01","000","19","000","Ia","Iowa","139","284","0"
"01","000","32","000","Nv","Nevada","120","267","0"
"01","000","49","000","Ut","Utah","117","337","0"
"01","000","23","000","Me","Maine","110","253","0"
"01","000","33","000","Nh","New Hampshire","100","232","0"
"01","000","41","000","Or","Oregon","99","220","0"
"01","000","10","000","De","Delaware","77","173","0"
"01","000","11","000","Dc","District of Columbia","65","113","0"
"01","000","16","000","Id","Idaho","56","137","0"
"01","000","44","000","Ri","Rhode Island","55","134","0"
"01","000","46","000","Sd","South Dakota","54","128","0"
"01","000","30","000","Mt","Montana","51","124","0"
"01","000","38","000","Nd","North Dakota","48","116","0"
"01","000","56","000","Wy","Wyoming","42","112","0"
"01","000","50","000","Vt","Vermont","28","55","0"
"01","000","01","000","","State Non-Migrant","1334900","3153705","0"
"02","000","96","000","","TOTAL FLOW","16025","33009","0"
"02","000","53","000","Wa","Washington","2094","4036","0"
"02","000","06","000","Ca","California","2030","4016","0"
"02","000","41","000","Or","Oregon","1043","2098","0"
"02","000","48","000","Tx","Texas","997","2290","0"
"02","000","12","000","Fl","Florida","596","1246","0"
"02","000","04","000","Az","Arizona","545","1072","0"
"02","000","08","000","Co","Colorado","544","1101","0"
"02","000","57","000","FR","Foreign","505","1200","0"
"02","000","27","000","Mn","Minnesota","417","709","0"
"02","000","30","000","Mt","Montana","391","819","0"
"02","000","26","000","Mi","Michigan","363","691","0"
"02","000","36","000","Ny","New York","347","626","0"
"02","000","16","000","Id","Idaho","312","663","0"
"02","000","51","000","Va","Virginia","297","686","0"
"02","000","39","000","Oh","Ohio","286","508","0"
"02","000","37","000","Nc","North Carolina","272","593","0"
"02","000","22","000","La","Louisiana","266","641","0"
"02","000","13","000","Ga","Georgia","255","562","0"
"02","000","17","000","Il","Illinois","254","480","0"
"02","000","15","000","Hi","Hawaii","252","455","0"
"02","000","40","000","Ok","Oklahoma","250","614","0"
"02","000","42","000","Pa","Pennsylvania","222","353","0"
"02","000","35","000","Nm","New Mexico","205","503","0"
"02","000","32","000","Nv","Nevada","205","446","0"
"02","000","55","000","Wi","Wisconsin","204","353","0"
"02","000","29","000","Mo","Missouri","182","389","0"
"02","000","49","000","Ut","Utah","177","452","0"
"02","000","01","000","Al","Alabama","174","456","0"
"02","000","56","000","Wy","Wyoming","165","362","0"
"02","000","20","000","Ks","Kansas","164","384","0"
"02","000","34","000","Nj","New Jersey","148","302","0"
"02","000","25","000","Ma","Massachusetts","147","256","0"
"02","000","18","000","In","Indiana","142","251","0"
"02","000","47","000","Tn","Tennessee","139","298","0"
"02","000","24","000","Md","Maryland","138","308","0"
"02","000","05","000","Ar","Arkansas","131","299","0"
"02","000","21","000","Ky","Kentucky","126","299","0"
"02","000","38","000","Nd","North Dakota","118","266","0"
"02","000","45","000","Sc","South Carolina","118","282","0"
"02","000","23","000","Me","Maine","117","237","0"
"02","000","31","000","Ne","Nebraska","108","267","0"
"02","000","33","000","Nh","New Hampshire","104","198","0"
"02","000","19","000","Ia","Iowa","100","196","0"
"02","000","46","000","Sd","South Dakota","87","219","0"
"02","000","28","000","Ms","Mississippi","80","182","0"
"02","000","09","000","Ct","Connecticut","72","112","0"
"02","000","54","000","Wv","West Virginia","41","61","0"
"02","000","50","000","Vt","Vermont","37","63","0"
"02","000","44","000","Ri","Rhode Island","23","43","0"
"02","000","11","000","Dc","District of Columbia","20","35","0"
"02","000","10","000","De","Delaware","15","31","0"
"02","000","02","000","","State Non-Migrant","172750","400346","0"
"04","000","96","000","","TOTAL FLOW","78319","159653","0"
"04","000","06","000","Ca","California","19465","41262","0"
"04","000","48","000","Tx","Texas","4505","9560","0"
