"State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","US Total Mig - US & For","3024096","5842050","108500078"
"00","000","97","000","US","US Total Mig - US","2839414","5535903","104811281"
"00","000","98","000","US","US Total Mig - Foreign","184682","306147","3688798"
"01","000","96","000","AL","AL Total Mig - US & For","45732","98227","1422792"
"01","000","97","000","AL","AL Total Mig - US","43743","94329","1382249"
"01","000","98","000","AL","AL Total Mig - Foreign","1989","3898","40543"
"01","000","01","000","AL","AL Non-Migrants","1447841","3315932","51607827"
"01","000","13","000","GA","GEORGIA","7888","17218","220635"
"01","000","12","000","FL","FLORIDA","6170","12784","178244"
"01","000","47","000","TN","TENNESSEE","3142","6454","95840"
"01","000","48","000","TX","TEXAS","2867","6520","93857"
"01","000","28","000","MS","MISSISSIPPI","2637","5565","73652"
"01","000","57","000","FR","Foreign - Total","1989","3898","40543"
"01","000","06","000","CA","CALIFORNIA","1601","3464","49223"
"01","000","22","000","LA","LOUISIANA","1542","3383","53092"
"01","000","37","000","NC","NORTH CAROLINA","1463","3239","46182"
"01","000","51","000","VA","VIRGINIA","1377","3205","54066"
"01","000","17","000","IL","ILLINOIS","1258","2713","45386"
"01","000","39","000","OH","OHIO","1146","2375","37233"
"01","000","36","000","NY","NEW YORK","1065","2117","34573"
"01","000","26","000","MI","MICHIGAN","1046","2202","35547"
"01","000","45","000","SC","SOUTH CAROLINA","940","2032","34235"
"01","000","21","000","KY","KENTUCKY","807","1854","25089"
"01","000","18","000","IN","INDIANA","769","1626","23064"
"01","000","42","000","PA","PENNSYLVANIA","700","1498","29038"
"01","000","29","000","MO","MISSOURI","615","1339","22581"
"01","000","08","000","CO","COLORADO","547","1212","17831"
"01","000","24","000","MD","MARYLAND","498","1061","20149"
"01","000","05","000","AR","ARKANSAS","477","1075","14192"
"01","000","40","000","OK","OKLAHOMA","469","1077","13489"
"01","000","53","000","WA","WASHINGTON","423","968","13342"
"01","000","34","000","NJ","NEW JERSEY","393","831","15327"
"01","000","04","000","AZ","ARIZONA","383","841","11656"
"01","000","55","000","WI","WISCONSIN","291","636","9548"
"01","000","20","000","KS","KANSAS","285","669","9371"
"01","000","25","000","MA","MASSACHUSETTS","283","535","10342"
"01","000","15","000","HI","HAWAII","249","618","8020"
"01","000","54","000","WV","WEST VIRGINIA","208","476","7975"
"01","000","35","000","NM","NEW MEXICO","204","482","6192"
"01","000","09","000","CT","CONNECTICUT","202","387","7030"
"01","000","27","000","MN","MINNESOTA","198","403","10775"
"01","000","19","000","IA","IOWA","184","403","6320"
"01","000","02","000","AK","ALASKA","164","404","5169"
"01","000","31","000","NE","NEBRASKA","140","321","5646"
"01","000","32","000","NV","NEVADA","138","293","4098"
"01","000","49","000","UT","UTAH","136","343","5062"
"01","000","41","000","OR","OREGON","129","248","3205"
"01","000","10","000","DE","DELAWARE","90","177","3516"
"01","000","33","000","NH","NEW HAMPSHIRE","87","189","5088"
"01","000","23","000","ME","MAINE","78","170","2456"
"01","000","56","000","WY","WYOMING","71","155","2078"
"01","000","11","000","DC","DISTRICT OF COLUMBIA","67","109","1815"
"01","000","30","000","MT","MONTANA","58","110","1443"
"01","000","16","000","ID","IDAHO","57","135","1620"
"01","000","38","000","ND","NORTH DAKOTA","56","122","1802"
"01","000","44","000","RI","RHODE ISLAND","49","96","3280"
"01","000","46","000","SD","SOUTH DAKOTA","48","107","1256"
"01","000","50","000","VT","VERMONT","48","88","1620"
"02","000","96","000","AK","AK Total Mig - US & For","14212","28545","392024"
"02","000","97","000","AK","AK Total Mig - US","13591","27262","378831"
"02","000","98","000","AK","AK Total Mig - Foreign","621","1283","13193"
"02","000","02","000","AK","AK Non-Migrants","193237","438866","9075750"
"02","000","53","000","WA","WASHINGTON","1716","3175","49733"
"02","000","06","000","CA","CALIFORNIA","1596","2995","44347"
"02","000","48","000","TX","TEXAS","857","2002","29747"
"02","000","41","000","OR","OREGON","787","1495","18833"
"02","000","57","000","FR","Foreign - Total","621","1283","13193"
"02","000","12","000","FL","FLORIDA","554","1110","14310"
"02","000","08","000","CO","COLORADO","524","1060","16362"
"02","000","04","000","AZ","ARIZONA","431","831","12097"
"02","000","37","000","NC","NORTH CAROLINA","406","989","11440"
"02","000","13","000","GA","GEORGIA","356","815","8725"
"02","000","36","000","NY","NEW YORK","350","604","7797"
"02","000","30","000","MT","MONTANA","324","656","9778"
"02","000","51","000","VA","VIRGINIA","303","689","9357"
"02","000","27","000","MN","MINNESOTA","301","448","7430"
"02","000","16","000","ID","IDAHO","289","599","7890"
"02","000","39","000","OH","OHIO","261","488","6870"
"02","000","26","000","MI","MICHIGAN","256","445","5886"
"02","000","35","000","NM","NEW MEXICO","238","514","7117"
"02","000","17","000","IL","ILLINOIS","235","428","6354"
"02","000","40","000","OK","OKLAHOMA","229","563","6922"
"02","000","32","000","NV","NEVADA","219","504","7670"
"02","000","42","000","PA","PENNSYLVANIA","219","370","5088"
"02","000","15","000","HI","HAWAII","206","411","5914"
"02","000","49","000","UT","UTAH","197","426","6718"
"02","000","22","000","LA","LOUISIANA","174","405","4505"
"02","000","29","000","MO","MISSOURI","171","360","4464"
"02","000","55","000","WI","WISCONSIN","167","288","4644"
"02","000","24","000","MD","MARYLAND","156","318","4638"
"02","000","01","000","AL","ALABAMA","155","394","5081"
"02","000","47","000","TN","TENNESSEE","154","310","4436"
"02","000","21","000","KY","KENTUCKY","151","368","3378"
"02","000","20","000","KS","KANSAS","136","352","4223"
"02","000","45","000","SC","SOUTH CAROLINA","135","293","3173"
"02","000","34","000","NJ","NEW JERSEY","124","218","2989"
"02","000","56","000","WY","WYOMING","119","208","3476"
"02","000","25","000","MA","MASSACHUSETTS","114","220","3194"
"02","000","18","000","IN","INDIANA","104","185","2051"
"02","000","46","000","SD","SOUTH DAKOTA","104","216","2637"
"02","000","38","000","ND","NORTH DAKOTA","97","198","2725"
"02","000","05","000","AR","ARKANSAS","96","230","2647"
"02","000","28","000","MS","MISSISSIPPI","93","201","2120"
"02","000","19","000","IA","IOWA","79","132","1750"
"02","000","09","000","CT","CONNECTICUT","74","110","1818"
"02","000","23","000","ME","MAINE","72","150","1639"
"02","000","31","000","NE","NEBRASKA","72","158","2038"
"02","000","33","000","NH","NEW HAMPSHIRE","53","76","1338"
"02","000","50","000","VT","VERMONT","44","72","1048"
"02","000","54","000","WV","WEST VIRGINIA","29","68","875"
"02","000","11","000","DC","DISTRICT OF COLUMBIA","25","30","652"
"02","000","44","000","RI","RHODE ISLAND","21","39","469"
"02","000","10","000","DE","DELAWARE","18","46","437"
"04","000","96","000","AZ","AZ Total Mig - US & For","97202","187522","3468774"
"04","000","97","000","AZ","AZ Total Mig - US","93431","180743","3393926"
"04","000","98","000","AZ","AZ Total Mig - Foreign","3771","6779","74848"
"04","000","04","000","AZ","AZ Non-Migrants","1422504","3204064","56502137"
"04","000","06","000","CA","CALIFORNIA","18491","38118","650191"
"04","000","48","000","TX","TEXAS","5701","11814","238473"
"04","000","17","000","IL","ILLINOIS","5515","10014","226818"
"04","000","35","000","NM","NEW MEXICO","4093","9533","106433"
"04","000","08","000","CO","COLORADO","4004","7506","137718"
"04","000","36","000","NY","NEW YORK","3892","6979","147887"
"04","000","57","000","FR","Foreign - Total","3771","6779","74848"
"04","000","53","000","WA","WASHINGTON","3739","7094","132769"
"04","000","12","000","FL","FLORIDA","2935","5426","111809"
"04","000","26","000","MI","MICHIGAN","2808","4981","104001"
"04","000","39","000","OH","OHIO","2777","4909","101860"
"04","000","32","000","NV","NEVADA","2731","5415","92938"
"04","000","42","000","PA","PENNSYLVANIA","2368","4022","89233"
"04","000","27","000","MN","MINNESOTA","2304","4101","104220"
"04","000","41","000","OR","OREGON","2052","3898","76428"
"04","000","55","000","WI","WISCONSIN","2023","3480","78278"
"04","000","49","000","UT","UTAH","1965","4518","60458"
"04","000","18","000","IN","INDIANA","1753","3187","62308"
"04","000","34","000","NJ","NEW JERSEY","1684","3032","79542"
"04","000","29","000","MO","MISSOURI","1576","3007","55681"
"04","000","51","000","VA","VIRGINIA","1501","3012","64841"
"04","000","19","000","IA","IOWA","1340","2322","45516"
"04","000","25","000","MA","MASSACHUSETTS","1301","2121","56498"
"04","000","13","000","GA","GEORGIA","1162","2290","44718"
"04","000","37","000","NC","NORTH CAROLINA","1142","2351","44471"
"04","000","20","000","KS","KANSAS","1140","2187","42530"
"04","000","31","000","NE","NEBRASKA","1133","1968","33240"
"04","000","40","000","OK","OKLAHOMA","1017","2057","27814"
"04","000","24","000","MD","MARYLAND","981","1814","40543"
"04","000","09","000","CT","CONNECTICUT","969","1809","56449"
"04","000","16","000","ID","IDAHO","803","1719","20431"
"04","000","30","000","MT","MONTANA","791","1404","20443"
"04","000","47","000","TN","TENNESSEE","781","1567","27881"
"04","000","15","000","HI","HAWAII","742","1496","21926"
"04","000","02","000","AK","ALASKA","592","1162","19967"
"04","000","56","000","WY","WYOMING","557","1056","14035"
"04","000","05","000","AR","ARKANSAS","508","988","11699"
"04","000","22","000","LA","LOUISIANA","495","977","16565"
"04","000","46","000","SD","SOUTH DAKOTA","475","847","12912"
"04","000","21","000","KY","KENTUCKY","474","916","14153"
"04","000","01","000","AL","ALABAMA","458","952","14808"
"04","000","45","000","SC","SOUTH CAROLINA","441","865","14408"
"04","000","38","000","ND","NORTH DAKOTA","395","693","12089"
"04","000","33","000","NH","NEW HAMPSHIRE","393","658","12295"
"04","000","28","000","MS","MISSISSIPPI","322","644","9329"
"04","000","23","000","ME","MAINE","278","464","7427"
"04","000","44","000","RI","RHODE ISLAND","199","341","8370"
"04","000","50","000","VT","VERMONT","176","286","4590"
"04","000","54","000","WV","WEST VIRGINIA","176","294","4439"
"04","000","10","000","DE","DELAWARE","143","261","4641"
"04","000","11","000","DC","DISTRICT OF COLUMBIA","135","188","7853"
"05","000","96","000","AR","AR Total Mig - US & For","31377","67748","893127"
"05","000","97","000","AR","AR Total Mig - US","30326","65920","877484"
"05","000","98","000","AR","AR Total Mig - Foreign","1051","1828","15643"
"05","000","05","000","AR","AR Non-Migrants","829981","1900916","26886744"
"05","000","48","000","TX","TEXAS","5335","11920","155507"
"05","000","40","000","OK","OKLAHOMA","2764","6073","62618"
"05","000","29","000","MO","MISSOURI","2629","5580","70080"
"05","000","06","000","CA","CALIFORNIA","2497","5647","66823"
"05","000","47","000","TN","TENNESSEE","1732","3478","53355"
"05","000","22","000","LA","LOUISIANA","1630","3747","48488"
"05","000","17","000","IL","ILLINOIS","1506","3113","48456"
"05","000","12","000","FL","FLORIDA","1108","2348","30388"
"05","000","57","000","FR","Foreign - Total","1051","1828","15643"
"05","000","28","000","MS","MISSISSIPPI","1029","2322","27048"
"05","000","20","000","KS","KANSAS","737","1537","22130"
"05","000","13","000","GA","GEORGIA","596","1302","19891"
"05","000","26","000","MI","MICHIGAN","547","1168","16160"
"05","000","08","000","CO","COLORADO","518","1101","16090"
"05","000","04","000","AZ","ARIZONA","495","1062","13428"
"05","000","18","000","IN","INDIANA","495","1023","14607"
"05","000","51","000","VA","VIRGINIA","485","1061","17538"
"05","000","37","000","NC","NORTH CAROLINA","479","1064","14235"
"05","000","55","000","WI","WISCONSIN","445","952","13731"
"05","000","01","000","AL","ALABAMA","430","934","13610"
"05","000","39","000","OH","OHIO","427","932","16013"
"05","000","19","000","IA","IOWA","401","844","12214"
"05","000","53","000","WA","WASHINGTON","367","837","9917"
"05","000","36","000","NY","NEW YORK","333","613","10103"
"05","000","27","000","MN","MINNESOTA","296","575","10061"
"05","000","21","000","KY","KENTUCKY","281","623","8106"
"05","000","45","000","SC","SOUTH CAROLINA","251","554","7702"
"05","000","31","000","NE","NEBRASKA","240","478","7961"
"05","000","42","000","PA","PENNSYLVANIA","238","493","9167"
"05","000","35","000","NM","NEW MEXICO","222","509","5970"
"05","000","41","000","OR","OREGON","208","450","3838"
"05","000","32","000","NV","NEVADA","180","372","4344"
"05","000","24","000","MD","MARYLAND","160","342","6257"
"05","000","34","000","NJ","NEW JERSEY","153","302","6415"
"05","000","02","000","AK","ALASKA","125","308","4428"
"05","000","49","000","UT","UTAH","111","288","3301"
"05","000","25","000","MA","MASSACHUSETTS","93","203","3993"
"05","000","15","000","HI","HAWAII","91","215","2371"
"05","000","16","000","ID","IDAHO","90","242","2212"
"05","000","09","000","CT","CONNECTICUT","81","163","4013"
"05","000","46","000","SD","SOUTH DAKOTA","80","168","2502"
"05","000","54","000","WV","WEST VIRGINIA","78","188","2633"
"05","000","56","000","WY","WYOMING","78","171","1993"
"05","000","30","000","MT","MONTANA","75","175","1508"
"05","000","23","000","ME","MAINE","49","94","1185"
"05","000","38","000","ND","NORTH DAKOTA","42","107","1082"
