y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
,,00,96,US+FO,Total Migration-US and Foreign,3057109,5687411,145848622
,,00,97,US,Total Migration-US,2973726,5514902,141491300
,,00,98,FO,Total Migration-Foreign,83383,172509,4357322
AL,Alabama,01,96,US+FO,Total Migration-US and Foreign,43890,92180,1854552
AL,Alabama,01,97,US,Total Migration-US,42880,89794,1805235
AL,Alabama,01,98,FO,Total Migration-Foreign,1010,2386,49317
AL,Alabama,01,01,AL,Alabama,1591968,3593492,80792924
AL,Alabama,01,13,GA,Georgia,8101,17114,284400
AL,Alabama,01,12,FL,Florida,6115,12189,234780
AL,Alabama,01,47,TN,Tennessee,3259,6698,132830
AL,Alabama,01,48,TX,Texas,2718,6016,131406
AL,Alabama,01,28,MS,Mississippi,2653,5498,109556
AL,Alabama,01,06,CA,California,1541,3192,64665
AL,Alabama,01,37,NC,North Carolina,1517,3256,69170
AL,Alabama,01,51,VA,Virginia,1357,3010,90550
AL,Alabama,01,22,LA,Louisiana,1167,2480,52421
AL,Alabama,01,36,NY,New York,1013,1924,44347
AL,Alabama,01,57,FR,Foreign,1010,2386,49317
AL,Alabama,01,39,OH,Ohio,1008,2069,46702
AL,Alabama,01,26,MI,Michigan,999,2051,40917
AL,Alabama,01,17,IL,Illinois,928,1846,39830
AL,Alabama,01,45,SC,South Carolina,881,1881,23880
AL,Alabama,01,21,KY,Kentucky,846,1855,36271
AL,Alabama,01,18,IN,Indiana,690,1446,29544
AL,Alabama,01,29,MO,Missouri,613,1265,28323
AL,Alabama,01,05,AR,Arkansas,553,1096,23216
AL,Alabama,01,04,AZ,Arizona,534,1248,25581
AL,Alabama,01,42,PA,Pennsylvania,534,1066,26497
AL,Alabama,01,08,CO,Colorado,524,1125,25535
AL,Alabama,01,53,WA,Washington,488,1092,20516
AL,Alabama,01,24,MD,Maryland,457,953,23827
AL,Alabama,01,40,OK,Oklahoma,389,878,15709
AL,Alabama,01,20,KS,Kansas,357,794,13954
AL,Alabama,01,34,NJ,New Jersey,331,682,16332
AL,Alabama,01,55,WI,Wisconsin,278,562,12428
AL,Alabama,01,15,HI,Hawaii,250,602,10234
AL,Alabama,01,25,MA,Massachusetts,247,442,13891
AL,Alabama,01,32,NV,Nevada,239,503,11341
AL,Alabama,01,02,AK,Alaska,231,578,12028
AL,Alabama,01,27,MN,Minnesota,207,405,8717
AL,Alabama,01,19,IA,Iowa,198,420,9652
AL,Alabama,01,49,UT,Utah,182,447,7815
AL,Alabama,01,09,CT,Connecticut,179,362,8938
AL,Alabama,01,35,NM,New Mexico,175,399,9278
AL,Alabama,01,41,OR,Oregon,160,312,5338
AL,Alabama,01,31,NE,Nebraska,142,313,6959
AL,Alabama,01,54,WV,West Virginia,134,286,5630
AL,Alabama,01,16,ID,Idaho,93,237,4242
AL,Alabama,01,33,NH,New Hampshire,73,146,2980
AL,Alabama,01,56,WY,Wyoming,72,156,3221
AL,Alabama,01,23,ME,Maine,71,139,3145
AL,Alabama,01,46,SD,South Dakota,64,146,4685
AL,Alabama,01,44,RI,Rhode Island,60,120,2599
AL,Alabama,01,11,DC,District of Columbia,58,79,3484
AL,Alabama,01,38,ND,North Dakota,58,111,2230
AL,Alabama,01,10,DE,Delaware,57,150,2640
AL,Alabama,01,30,MT,Montana,55,109,2210
AL,Alabama,01,50,VT,Vermont,24,46,792
AK,Alaska,02,96,US+FO,Total Migration-US and Foreign,16694,32136,676203
AK,Alaska,02,97,US,Total Migration-US,16156,30965,654011
AK,Alaska,02,98,FO,Total Migration-Foreign,538,1171,22192
AK,Alaska,02,02,AK,Alaska,251110,528988,16544184
AK,Alaska,02,53,WA,Washington,1550,2817,63378
AK,Alaska,02,06,CA,California,1527,2817,55348
AK,Alaska,02,48,TX,Texas,1240,2636,63410
AK,Alaska,02,12,FL,Florida,1023,1705,35311
AK,Alaska,02,41,OR,Oregon,810,1464,32738
AK,Alaska,02,08,CO,Colorado,567,1033,23934
AK,Alaska,02,04,AZ,Arizona,542,1035,23086
AK,Alaska,02,57,FR,Foreign,538,1171,22192
AK,Alaska,02,13,GA,Georgia,535,1164,20297
AK,Alaska,02,37,NC,North Carolina,471,1016,17805
AK,Alaska,02,51,VA,Virginia,406,940,19598
AK,Alaska,02,36,NY,New York,366,613,12255
AK,Alaska,02,16,ID,Idaho,352,679,13706
AK,Alaska,02,26,MI,Michigan,342,603,13947
AK,Alaska,02,17,IL,Illinois,328,557,12581
AK,Alaska,02,27,MN,Minnesota,327,530,12854
AK,Alaska,02,15,HI,Hawaii,316,625,9708
AK,Alaska,02,32,NV,Nevada,296,583,11933
AK,Alaska,02,30,MT,Montana,293,523,12404
AK,Alaska,02,49,UT,Utah,293,660,11919
AK,Alaska,02,42,PA,Pennsylvania,274,437,10675
AK,Alaska,02,29,MO,Missouri,273,603,10335
AK,Alaska,02,39,OH,Ohio,269,481,10588
AK,Alaska,02,40,OK,Oklahoma,269,604,12232
AK,Alaska,02,55,WI,Wisconsin,258,424,9809
AK,Alaska,02,01,AL,Alabama,249,620,11909
AK,Alaska,02,47,TN,Tennessee,225,468,8489
AK,Alaska,02,45,SC,South Carolina,213,442,8210
AK,Alaska,02,35,NM,New Mexico,200,374,9464
AK,Alaska,02,18,IN,Indiana,191,329,6642
AK,Alaska,02,22,LA,Louisiana,180,408,8730
AK,Alaska,02,20,KS,Kansas,177,424,7305
AK,Alaska,02,21,KY,Kentucky,172,424,7860
AK,Alaska,02,24,MD,Maryland,166,364,7414
AK,Alaska,02,25,MA,Massachusetts,140,220,5691
AK,Alaska,02,34,NJ,New Jersey,137,212,4933
AK,Alaska,02,56,WY,Wyoming,128,227,6032
AK,Alaska,02,31,NE,Nebraska,124,252,4672
AK,Alaska,02,05,AR,Arkansas,123,243,4484
AK,Alaska,02,19,IA,Iowa,108,181,3779
AK,Alaska,02,38,ND,North Dakota,96,186,4158
AK,Alaska,02,46,SD,South Dakota,96,171,3498
AK,Alaska,02,09,CT,Connecticut,94,133,3201
AK,Alaska,02,28,MS,Mississippi,94,186,3702
AK,Alaska,02,23,ME,Maine,87,162,4025
AK,Alaska,02,50,VT,Vermont,51,77,1966
AK,Alaska,02,54,WV,West Virginia,51,99,2164
AK,Alaska,02,33,NH,New Hampshire,49,77,1670
AK,Alaska,02,10,DE,Delaware,30,64,1505
AK,Alaska,02,11,DC,District of Columbia,30,39,1878
AK,Alaska,02,44,RI,Rhode Island,18,34,779
AZ,Arizona,04,96,US+FO,Total Migration-US and Foreign,85145,161552,4129920
AZ,Arizona,04,97,US,Total Migration-US,83528,158038,4045406
AZ,Arizona,04,98,FO,Total Migration-Foreign,1617,3514,84514
AZ,Arizona,04,04,AZ,Arizona,2037603,4610282,108742635
AZ,Arizona,04,06,CA,California,15921,30618,835477
AZ,Arizona,04,48,TX,Texas,5445,11024,250864
AZ,Arizona,04,53,WA,Washington,4198,7905,191359
AZ,Arizona,04,08,CO,Colorado,4034,7769,196719
AZ,Arizona,04,17,IL,Illinois,3970,7119,214634
AZ,Arizona,04,35,NM,New Mexico,3388,7094,119725
AZ,Arizona,04,32,NV,Nevada,3059,6084,134332
