y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
AL,Alabama,01,96,US+FO,AL Total Migration-US and Foreign,47578,97703,2754842
AL,Alabama,01,97,US,Total Migration-US,46908,96089,2714756
AL,Alabama,01,98,FO,Total Migration-Foreign,670,1614,40086
AL,Alabama,01,97,US,AL Total Migration-Same State,59337,119622,2833824
AL,Alabama,01,01,AL,AL Non-migrants,1582765,3468405,104423723
AL,Alabama,01,13,GA,Georgia,7914,16158,404454
AL,Alabama,01,12,FL,Florida,7004,13862,372582
AL,Alabama,01,47,TN,Tennessee,3989,7903,230827
AL,Alabama,01,48,TX,Texas,3360,7303,222862
AL,Alabama,01,28,MS,Mississippi,2845,5731,145996
AL,Alabama,01,06,CA,California,1949,3936,124596
AL,Alabama,01,37,NC,North Carolina,1559,3184,91731
AL,Alabama,01,51,VA,Virginia,1363,3025,108722
AL,Alabama,01,22,LA,Louisiana,1278,2695,82177
AL,Alabama,01,17,IL,Illinois,1108,2225,69410
AL,Alabama,01,36,NY,New York,1019,1987,56942
AL,Alabama,01,39,OH,Ohio,1018,2017,52789
AL,Alabama,01,45,SC,South Carolina,901,1863,55025
AL,Alabama,01,26,MI,Michigan,887,1759,42385
AL,Alabama,01,08,CO,Colorado,850,1890,53432
AL,Alabama,01,21,KY,Kentucky,822,1751,47397
AL,Alabama,01,18,IN,Indiana,731,1523,40023
AL,Alabama,01,29,MO,Missouri,697,1434,43559
AL,Alabama,01,57,FR,Foreign,670,1614,40086
AL,Alabama,01,53,WA,Washington,648,1457,39678
AL,Alabama,01,42,PA,Pennsylvania,631,1243,43281
AL,Alabama,01,24,MD,Maryland,525,1058,40320
AL,Alabama,01,04,AZ,Arizona,511,1021,31217
AL,Alabama,01,05,AR,Arkansas,472,984,27940
AL,Alabama,01,40,OK,Oklahoma,430,973,23681
AL,Alabama,01,20,KS,Kansas,378,889,20502
AL,Alabama,01,34,NJ,New Jersey,330,673,19151
AL,Alabama,01,55,WI,Wisconsin,319,603,21835
AL,Alabama,01,25,MA,Massachusetts,290,517,15732
AL,Alabama,01,15,HI,Hawaii,279,678,17070
AL,Alabama,01,32,NV,Nevada,268,554,14176
AL,Alabama,01,19,IA,Iowa,246,469,13858
AL,Alabama,01,27,MN,Minnesota,221,409,13650
AL,Alabama,01,02,AK,Alaska,212,491,13957
AL,Alabama,01,35,NM,New Mexico,208,449,11306
AL,Alabama,01,09,CT,Connecticut,199,365,12525
AL,Alabama,01,41,OR,Oregon,193,360,10182
AL,Alabama,01,49,UT,Utah,180,407,11208
AL,Alabama,01,54,WV,West Virginia,162,357,11747
AL,Alabama,01,31,NE,Nebraska,143,320,10172
AL,Alabama,01,16,ID,Idaho,97,217,4933
AL,Alabama,01,30,MT,Montana,91,191,4608
AL,Alabama,01,38,ND,North Dakota,86,187,5304
AL,Alabama,01,11,DC,District of Columbia,76,120,5754
AL,Alabama,01,46,SD,South Dakota,75,146,4304
AL,Alabama,01,23,ME,Maine,72,166,4073
AL,Alabama,01,56,WY,Wyoming,71,144,4444
AL,Alabama,01,33,NH,New Hampshire,69,137,4523
AL,Alabama,01,10,DE,Delaware,52,101,3332
AL,Alabama,01,44,RI,Rhode Island,50,101,3076
AL,Alabama,01,50,VT,Vermont,30,56,2305
AK,Alaska,02,96,US+FO,AK Total Migration-US and Foreign,13916,26983,742553
