"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"02","013","96","000","Ak","Total Migration","84","173","0"
"02","013","02","020","Ak","Anchorage Borough","12","24","0"
"02","013","02","013","Ak","Non-Migrants","416","1002","0"
"02","016","96","000","Ak","Total Migration","672","1522","0"
"02","016","53","033","Wa","King","59","93","0"
"02","016","02","020","Ak","Anchorage Borough","45","95","0"
"02","016","57","001","FR","Foreign / Overseas","43","83","0"
"02","016","06","073","Ca","San Diego","31","101","0"
"02","016","02","013","Ak","Aleutians East Borough","22","32","0"
"02","016","53","035","Wa","Kitsap","19","56","0"
"02","016","53","053","Wa","Pierce","17","30","0"
"02","016","15","003","Hi","Honolulu","15","32","0"
"02","016","53","029","Wa","Island","14","44","0"
"02","016","06","111","Ca","Ventura","11","42","0"
"02","016","53","063","Wa","Spokane","10","14","0"
"02","016","53","061","Wa","Snohomish","10","22","0"
"02","016","51","810","Va","Virginia Beach city","10","40","0"
"02","016","02","170","Ak","Matanuska-Susitna Boroug","10","24","0"
"02","016","02","016","Ak","Non-Migrants","991","2185","0"
"02","020","96","000","Ak","Total Migration","7574","16819","0"
"02","020","02","170","Ak","Matanuska-Susitna Boroug","533","1253","0"
"02","020","02","090","Ak","Fairbanks North Star Bor","362","904","0"
"02","020","53","033","Wa","King","325","573","0"
"02","020","02","122","Ak","Kenai Peninsula Borough","282","567","0"
"02","020","57","001","FR","Foreign / Overseas","178","368","0"
"02","020","04","013","Az","Maricopa","126","249","0"
"02","020","06","037","Ca","Los Angeles","121","223","0"
"02","020","02","110","Ak","Juneau Borough","104","195","0"
"02","020","02","261","Ak","Valdez-Cordova","94","203","0"
"02","020","53","053","Wa","Pierce","84","186","0"
"02","020","32","003","Nv","Clark","81","165","0"
"02","020","15","003","Hi","Honolulu","80","155","0"
"02","020","41","051","Or","Multnomah","77","137","0"
"02","020","53","063","Wa","Spokane","74","183","0"
"02","020","06","073","Ca","San Diego","68","120","0"
"02","020","48","201","Tx","Harris","68","171","0"
"02","020","48","029","Tx","Bexar","62","168","0"
"02","020","53","061","Wa","Snohomish","62","118","0"
"02","020","02","150","Ak","Kodiak Island Borough","54","112","0"
"02","020","04","019","Az","Pima","54","121","0"
"02","020","06","059","Ca","Orange","50","78","0"
"02","020","53","011","Wa","Clark","48","98","0"
"02","020","51","059","Va","Fairfax","47","136","0"
"02","020","08","041","Co","El Paso","45","131","0"
"02","020","02","050","Ak","Bethel","45","89","0"
"02","020","06","067","Ca","Sacramento","43","81","0"
"02","020","41","067","Or","Washington","41","82","0"
"02","020","48","113","Tx","Dallas","40","79","0"
"02","020","41","039","Or","Lane","39","65","0"
"02","020","48","439","Tx","Tarrant","39","91","0"
"02","020","53","067","Wa","Thurston","38","98","0"
"02","020","06","071","Ca","San Bernardino","36","96","0"
"02","020","12","091","Fl","Okaloosa","34","84","0"
"02","020","37","051","NC","Cumberland","34","104","0"
"02","020","06","053","Ca","Monterey","34","74","0"
"02","020","08","005","Co","Arapahoe","34","73","0"
"02","020","06","075","Ca","San Francisco","33","52","0"
"02","020","53","073","Wa","Whatcom","32","77","0"
"02","020","49","035","Ut","Salt Lake","32","70","0"
