"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"02","013","96","000","Ak","Aleutians East Borough","155","304","3994"
"02","013","53","033","Wa","King","25","46","456"
"02","013","02","020","Ak","Anchorage Borough","21","45","814"
"02","013","63","020","XX","Same State","26","53","932"
"02","013","63","021","XX","Same Region, Diff. State","71","137","1424"
"02","013","63","022","XX","Different Region","12","23","368"
"02","013","63","050","Ak","County Non-Migrant","495","1146","20361"
"02","016","96","000","Ak","Aleutians West","893","1698","23872"
"02","016","57","005","FR","APO / FPO Zip Code","83","120","1565"
"02","016","53","033","Wa","King","73","109","2265"
"02","016","02","020","Ak","Anchorage Borough","41","69","1217"
"02","016","06","073","Ca","San Diego","38","100","960"
"02","016","53","035","Wa","Kitsap","29","67","839"
"02","016","06","037","Ca","Los Angeles","17","45","377"
"02","016","53","053","Wa","Pierce","15","23","281"
"02","016","15","003","Hi","Honolulu","14","27","338"
"02","016","53","061","Wa","Snohomish","13","23","545"
"02","016","06","077","Ca","San Joaquin","12","26","342"
"02","016","53","029","Wa","Island","11","20","260"
"02","016","06","111","Ca","Ventura","11","31","275"
"02","016","63","010","XX","Same State","35","83","1148"
"02","016","63","011","XX","Region 1: Northeast","41","70","1110"
"02","016","63","012","XX","Region 2: Midwest","72","131","1862"
"02","016","63","013","XX","Region 3: South","183","357","5136"
"02","016","63","014","XX","Region 4: West","195","377","5046"
"02","016","63","015","XX","Foreign","10","20","306"
"02","016","63","050","Ak","County Non-Migrant","1684","3855","64355"
"02","020","96","000","Ak","Anchorage Borough","9144","20190","306322"
"02","020","02","170","Ak","Matanuska-Susitna Boroug","624","1411","22378"
"02","020","53","033","Wa","King","392","654","14029"
"02","020","02","122","Ak","Kenai Peninsula Borough","296","543","9381"
"02","020","02","090","Ak","Fairbanks North Star Bor","228","411","6220"
"02","020","04","013","Az","Maricopa","139","250","3335"
"02","020","53","053","Wa","Pierce","130","276","4144"
"02","020","53","063","Wa","Spokane","105","257","4654"
"02","020","57","005","FR","APO / FPO Zip Code","100","232","2764"
"02","020","32","003","Nv","Clark","99","184","4582"
"02","020","06","037","Ca","Los Angeles","97","155","2655"
"02","020","08","041","Co","El Paso","92","254","2654"
"02","020","37","051","NC","Cumberland","89","245","2033"
"02","020","53","061","Wa","Snohomish","86","158","2290"
"02","020","48","029","Tx","Bexar","80","227","2317"
"02","020","02","110","Ak","Juneau Borough","79","144","2661"
"02","020","41","051","Or","Multnomah","77","111","1498"
"02","020","02","261","Ak","Valdez-Cordova","74","137","2359"
"02","020","15","003","Hi","Honolulu","64","136","2242"
"02","020","06","073","Ca","San Diego","59","117","1852"
"02","020","02","150","Ak","Kodiak Island Borough","58","108","1471"
"02","020","53","067","Wa","Thurston","57","147","1878"
"02","020","41","039","Or","Lane","56","100","1231"
"02","020","57","001","FR","Foreign / Overseas","55","114","3421"
"02","020","48","201","Tx","Harris","53","125","3634"
"02","020","02","188","Ak","Northwest Arctic","50","107","1411"
"02","020","04","019","Az","Pima","49","100","1681"
"02","020","02","185","Ak","North Slope Borough","49","76","1944"
"02","020","41","067","Or","Washington","48","100","1618"
"02","020","08","031","Co","Denver","44","95","1464"
"02","020","02","050","Ak","Bethel","44","87","916"
"02","020","35","001","NM","Bernalillo","43","102","2104"
