"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"02","013","96","000","Ak","Total Migration","130","266","0"
"02","013","02","020","Ak","Anchorage Borough","21","55","0"
"02","013","53","033","Wa","King","18","31","0"
"02","013","02","016","Ak","Aleutians West","12","21","0"
"02","013","02","013","Ak","Non-Migrants","496","1171","0"
"02","016","96","000","Ak","Total Migration","1503","3188","0"
"02","016","57","005","FR","APO / FPO Zip Code","389","857","0"
"02","016","06","073","Ca","San Diego","71","178","0"
"02","016","53","033","Wa","King","67","113","0"
"02","016","02","020","Ak","Anchorage Borough","46","99","0"
"02","016","53","035","Wa","Kitsap","45","122","0"
"02","016","15","003","Hi","Honolulu","34","73","0"
"02","016","53","029","Wa","Island","23","72","0"
"02","016","51","810","Va","Virginia Beach city","23","64","0"
"02","016","06","111","Ca","Ventura","21","51","0"
"02","016","06","071","Ca","San Bernardino","14","38","0"
"02","016","53","053","Wa","Pierce","12","20","0"
"02","016","06","031","Ca","Kings","12","35","0"
"02","016","06","085","Ca","Santa Clara","12","25","0"
"02","016","06","037","Ca","Los Angeles","11","31","0"
"02","016","06","029","Ca","Kern","10","19","0"
"02","016","02","016","Ak","Non-Migrants","1379","3146","0"
"02","020","96","000","Ak","Total Migration","8297","17397","0"
"02","020","02","170","Ak","Matanuska-Susitna Boroug","654","1444","0"
"02","020","53","033","Wa","King","363","573","0"
"02","020","02","122","Ak","Kenai Peninsula Borough","325","627","0"
"02","020","02","090","Ak","Fairbanks North Star Bor","261","491","0"
"02","020","04","013","Az","Maricopa","132","242","0"
"02","020","06","037","Ca","Los Angeles","124","214","0"
"02","020","57","005","FR","APO / FPO Zip Code","102","214","0"
"02","020","53","053","Wa","Pierce","89","183","0"
"02","020","02","110","Ak","Juneau Borough","88","154","0"
"02","020","15","003","Hi","Honolulu","81","176","0"
"02","020","02","261","Ak","Valdez-Cordova","79","163","0"
"02","020","06","073","Ca","San Diego","77","136","0"
"02","020","53","061","Wa","Snohomish","74","139","0"
"02","020","32","003","Nv","Clark","72","145","0"
"02","020","48","029","Tx","Bexar","71","222","0"
"02","020","53","063","Wa","Spokane","69","160","0"
"02","020","08","041","Co","El Paso","67","183","0"
"02","020","41","051","Or","Multnomah","65","91","0"
"02","020","48","201","Tx","Harris","58","137","0"
"02","020","02","150","Ak","Kodiak Island Borough","53","91","0"
"02","020","04","019","Az","Pima","52","100","0"
"02","020","02","185","Ak","North Slope Borough","52","102","0"
"02","020","41","039","Or","Lane","52","97","0"
"02","020","57","001","FR","Foreign / Overseas","49","87","0"
"02","020","41","067","Or","Washington","46","97","0"
"02","020","12","091","Fl","Okaloosa","45","126","0"
"02","020","02","050","Ak","Bethel","44","91","0"
"02","020","06","059","Ca","Orange","44","77","0"
"02","020","06","085","Ca","Santa Clara","42","65","0"
"02","020","02","188","Ak","Northwest Arctic","42","77","0"
"02","020","49","035","Ut","Salt Lake","41","85","0"
"02","020","37","051","NC","Cumberland","41","103","0"
"02","020","35","001","NM","Bernalillo","41","100","0"
"02","020","02","180","Ak","Nome","40","82","0"
"02","020","51","059","Va","Fairfax","39","119","0"
"02","020","53","067","Wa","Thurston","38","74","0"
"02","020","48","113","Tx","Dallas","38","64","0"
"02","020","53","073","Wa","Whatcom","37","70","0"
"02","020","06","067","Ca","Sacramento","37","72","0"
"02","020","40","109","Ok","Oklahoma","35","82","0"
"02","020","53","011","Wa","Clark","35","70","0"
"02","020","48","439","Tx","Tarrant","34","63","0"
"02","020","16","001","Id","Ada","34","75","0"
"02","020","06","075","Ca","San Francisco","33","45","0"
"02","020","53","035","Wa","Kitsap","32","72","0"
"02","020","17","031","Il","Cook","30","47","0"
"02","020","08","031","Co","Denver","30","52","0"
"02","020","08","005","Co","Arapahoe","29","50","0"
"02","020","06","065","Ca","Riverside","29","68","0"
"02","020","06","071","Ca","San Bernardino","29","66","0"
"02","020","12","057","Fl","Hillsborough","29","61","0"
"02","020","32","031","Nv","Washoe","28","53","0"
"02","020","02","016","Ak","Aleutians West","28","46","0"
"02","020","41","005","Or","Clackamas","28","47","0"
"02","020","06","013","Ca","Contra Costa","27","47","0"
"02","020","41","047","Or","Marion","26","47","0"
"02","020","53","005","Wa","Benton","25","68","0"
