"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"02","013","96","000","Ak","Aleutians East Borough (Total Migrant)","126","249","3602"
"02","013","02","020","Ak","Anchorage Borough","29","59","904"
"02","013","63","020","XX","Same State","22","44","602"
"02","013","63","021","XX","Same Region, Diff. State","63","112","1587"
"02","013","63","022","XX","Different Region","12","34","509"
"02","013","63","050","Ak","County Non-Migrant","483","1101","14210"
"02","016","96","000","Ak","Aleutians West (Total Migrant)","1282","2762","36115"
"02","016","57","005","FR","APO / FPO Zip Code","107","170","2100"
"02","016","06","073","Ca","San Diego","83","204","1958"
"02","016","02","020","Ak","Anchorage Borough","61","119","1910"
"02","016","53","033","Wa","King","58","109","1519"
"02","016","15","003","Hi","Honolulu","43","95","1178"
"02","016","53","035","Wa","Kitsap","33","93","1071"
"02","016","53","029","Wa","Island","27","59","608"
"02","016","53","053","Wa","Pierce","24","33","494"
"02","016","51","810","Va","Virginia Beach city","22","60","625"
"02","016","06","111","Ca","Ventura","19","55","451"
"02","016","53","061","Wa","Snohomish","17","41","645"
"02","016","12","033","Fl","Escambia","15","41","639"
"02","016","24","003","Md","Anne Arundel","11","26","283"
"02","016","06","077","Ca","San Joaquin","11","17","246"
"02","016","57","007","FR","Foreign / Virgin Islands","10","27","361"
"02","016","53","063","Wa","Spokane","10","13","149"
"02","016","06","001","Ca","Alameda","10","23","318"
"02","016","04","013","Az","Maricopa","10","19","251"
"02","016","63","010","XX","Same State","58","127","2358"
"02","016","63","011","XX","Region 1: Northeast","61","130","1701"
"02","016","63","012","XX","Region 2: Midwest","110","260","3134"
"02","016","63","013","XX","Region 3: South","235","526","6956"
"02","016","63","014","XX","Region 4: West","247","515","7160"
"02","016","63","050","Ak","County Non-Migrant","1549","3516","61953"
"02","020","96","000","Ak","Anchorage Borough (Total Migrant)","8526","18461","284694"
"02","020","02","170","Ak","Matanuska-Susitna Boroug","683","1566","25075"
"02","020","53","033","Wa","King","385","654","13876"
"02","020","02","122","Ak","Kenai Peninsula Borough","340","676","12450"
"02","020","02","090","Ak","Fairbanks North Star Bor","253","493","7080"
"02","020","04","013","Az","Maricopa","174","340","5863"
"02","020","53","053","Wa","Pierce","122","247","4352"
"02","020","32","003","Nv","Clark","109","235","3723"
"02","020","08","041","Co","El Paso","107","267","3025"
"02","020","57","005","FR","APO / FPO Zip Code","101","245","2717"
"02","020","06","037","Ca","Los Angeles","85","145","3096"
"02","020","02","261","Ak","Valdez-Cordova","77","147","2753"
"02","020","37","051","NC","Cumberland","77","232","1807"
"02","020","48","029","Tx","Bexar","74","174","2361"
"02","020","41","051","Or","Multnomah","71","106","1611"
"02","020","53","061","Wa","Snohomish","69","135","2150"
"02","020","53","063","Wa","Spokane","68","133","2151"
"02","020","02","150","Ak","Kodiak Island Borough","66","101","1602"
"02","020","02","110","Ak","Juneau Borough","64","128","2159"
"02","020","48","201","Tx","Harris","59","148","7658"
"02","020","48","027","Tx","Bell","58","161","1372"
"02","020","15","003","Hi","Honolulu","58","106","1768"
