y2_state,y2_state_name,y2_statefips,y2_countyfips,y2_county_name,y1_statefips,y1_countyfips,y1_state,y1_state_name,y1_county_name,n1,n2,AGI
AK,Alaska,02,020,Anchorage Municipality,41,051,Or,Oregon,Multnomah County,47,72,1405
AK,Alaska,02,020,Anchorage Municipality,12,091,Fl,Florida,Okaloosa County,44,124,1056
AK,Alaska,02,020,Anchorage Municipality,06,067,Ca,California,Sacramento County,44,87,1623
AK,Alaska,02,020,Anchorage Municipality,02,130,Ak,Alaska,Ketchikan Gateway Borough,41,83,1189
AK,Alaska,02,020,Anchorage Municipality,02,070,Ak,Alaska,Dillingham Census Area,40,94,1334
AK,Alaska,02,020,Anchorage Municipality,53,073,Wa,Washington,Whatcom County,40,92,1521
AK,Alaska,02,020,Anchorage Municipality,02,180,Ak,Alaska,Nome Census Area,39,91,1228
AK,Alaska,02,020,Anchorage Municipality,35,001,NM,New Mexico,Bernalillo County,39,81,1067
AK,Alaska,02,020,Anchorage Municipality,17,031,Il,Illinois,Cook County,38,58,772
AK,Alaska,02,020,Anchorage Municipality,53,011,Wa,Washington,Clark County,36,69,1519
AK,Alaska,02,020,Anchorage Municipality,48,113,Tx,Texas,Dallas County,35,62,1190
AK,Alaska,02,020,Anchorage Municipality,08,031,Co,Colorado,Denver County,33,44,1191
AK,Alaska,02,020,Anchorage Municipality,06,085,Ca,California,Santa Clara County,33,51,894
AK,Alaska,02,020,Anchorage Municipality,04,019,Az,Arizona,Pima County,33,70,830
AK,Alaska,02,020,Anchorage Municipality,53,035,Wa,Washington,Kitsap County,32,62,860
AK,Alaska,02,020,Anchorage Municipality,49,035,Ut,Utah,Salt Lake County,32,78,816
AK,Alaska,02,020,Anchorage Municipality,12,005,Fl,Florida,Bay County,32,68,665
AK,Alaska,02,020,Anchorage Municipality,48,027,Tx,Texas,Bell County,32,92,673
AK,Alaska,02,020,Anchorage Municipality,41,067,Or,Oregon,Washington County,31,57,560
AK,Alaska,02,020,Anchorage Municipality,32,031,Nv,Nevada,Washoe County,30,55,909
AK,Alaska,02,020,Anchorage Municipality,02,013,Ak,Alaska,Aleutians East Borough,29,59,904
AK,Alaska,02,020,Anchorage Municipality,06,029,Ca,California,Kern County,29,76,1189
AK,Alaska,02,020,Anchorage Municipality,02,290,Ak,Alaska,Yukon-Koyukuk Census Area,29,54,627
AK,Alaska,02,020,Anchorage Municipality,06,053,Ca,California,Monterey County,29,63,590
AK,Alaska,02,020,Anchorage Municipality,06,095,Ca,California,Solano County,29,71,897
AK,Alaska,02,020,Anchorage Municipality,48,141,Tx,Texas,El Paso County,29,82,589
AK,Alaska,02,020,Anchorage Municipality,53,067,Wa,Washington,Thurston County,28,56,696
AK,Alaska,02,020,Anchorage Municipality,48,439,Tx,Texas,Tarrant County,28,74,988
AK,Alaska,02,020,Anchorage Municipality,02,240,Ak,Alaska,Southeast Fairbanks Census Area,27,51,514
AK,Alaska,02,020,Anchorage Municipality,27,053,Mn,Minnesota,Hennepin County,27,34,629
AK,Alaska,02,020,Anchorage Municipality,06,075,Ca,California,San Francisco County,26,39,833
AK,Alaska,02,020,Anchorage Municipality,51,059,Va,Virginia,Fairfax County,26,71,1313
AK,Alaska,02,020,Anchorage Municipality,41,047,Or,Oregon,Marion County,25,58,708
AK,Alaska,02,020,Anchorage Municipality,06,065,Ca,California,Riverside County,25,56,436
AK,Alaska,02,020,Anchorage Municipality,08,059,Co,Colorado,Jefferson County,25,35,767
AK,Alaska,02,020,Anchorage Municipality,16,001,Id,Idaho,Ada County,25,51,916
AK,Alaska,02,020,Anchorage Municipality,08,013,Co,Colorado,Boulder County,24,33,444
AK,Alaska,02,020,Anchorage Municipality,47,157,Tn,Tennessee,Shelby County,23,48,1321
AK,Alaska,02,020,Anchorage Municipality,12,009,Fl,Florida,Brevard County,23,55,760
AK,Alaska,02,020,Anchorage Municipality,41,005,Or,Oregon,Clackamas County,22,39,509
AK,Alaska,02,020,Anchorage Municipality,08,005,Co,Colorado,Arapahoe County,22,39,845
AK,Alaska,02,020,Anchorage Municipality,37,191,NC,North Carolina,Wayne County,22,64,516
AK,Alaska,02,020,Anchorage Municipality,02,220,Ak,Alaska,Sitka City and Borough,22,58,748
AK,Alaska,02,020,Anchorage Municipality,55,079,Wi,Wisconsin,Milwaukee County,22,37,542
AK,Alaska,02,020,Anchorage Municipality,02,060,Ak,Alaska,Bristol Bay Borough,22,42,561
AK,Alaska,02,020,Anchorage Municipality,35,035,NM,New Mexico,Otero County,21,63,762
AK,Alaska,02,020,Anchorage Municipality,02,270,Ak,Alaska,Wade Hampton,21,43,398
AK,Alaska,02,020,Anchorage Municipality,27,123,Mn,Minnesota,Ramsey County,20,29,378
AK,Alaska,02,020,Anchorage Municipality,05,119,Ar,Arkansas,Pulaski County,20,49,526
AK,Alaska,02,020,Anchorage Municipality,13,215,Ga,Georgia,Muscogee County,19,60,410
AK,Alaska,02,020,Anchorage Municipality,31,153,Ne,Nebraska,Sarpy County,19,57,510
AK,Alaska,02,020,Anchorage Municipality,06,013,Ca,California,Contra Costa County,19,39,736
AK,Alaska,02,020,Anchorage Municipality,12,057,Fl,Florida,Hillsborough County,19,45,420
AK,Alaska,02,020,Anchorage Municipality,13,245,Ga,Georgia,Richmond County,19,59,450
AK,Alaska,02,020,Anchorage Municipality,06,081,Ca,California,San Mateo County,18,25,734
AK,Alaska,02,020,Anchorage Municipality,20,103,Ks,Kansas,Leavenworth County,18,64,659
AK,Alaska,02,020,Anchorage Municipality,06,001,Ca,California,Alameda County,18,39,503
AK,Alaska,02,020,Anchorage Municipality,26,163,Mi,Michigan,Wayne County,18,31,434
AK,Alaska,02,020,Anchorage Municipality,25,017,Ma,Massachusetts,Middlesex County,18,36,563
AK,Alaska,02,020,Anchorage Municipality,49,011,Ut,Utah,Davis County,18,57,625
AK,Alaska,02,020,Anchorage Municipality,24,033,Md,Maryland,Prince George's County,17,37,407
AK,Alaska,02,020,Anchorage Municipality,06,089,Ca,California,Shasta County,17,35,524
AK,Alaska,02,020,Anchorage Municipality,41,003,Or,Oregon,Benton County,17,22,291
AK,Alaska,02,020,Anchorage Municipality,38,101,ND,North Dakota,Ward County,17,46,540
AK,Alaska,02,020,Anchorage Municipality,06,111,Ca,California,Ventura County,17,30,377
AK,Alaska,02,020,Anchorage Municipality,48,453,Tx,Texas,Travis County,16,36,692
AK,Alaska,02,020,Anchorage Municipality,16,039,Id,Idaho,Elmore County,16,43,386
AK,Alaska,02,020,Anchorage Municipality,06,083,Ca,California,Santa Barbara County,16,33,447
AK,Alaska,02,020,Anchorage Municipality,36,065,NY,New York,Oneida County,16,37,385
AK,Alaska,02,020,Anchorage Municipality,40,031,Ok,Oklahoma,Comanche County,16,41,385
AK,Alaska,02,020,Anchorage Municipality,35,009,NM,New Mexico,Curry County,15,40,269
AK,Alaska,02,020,Anchorage Municipality,01,101,Al,Alabama,Montgomery County,15,44,435
AK,Alaska,02,020,Anchorage Municipality,06,047,Ca,California,Merced County,15,37,362
AK,Alaska,02,020,Anchorage Municipality,12,031,Fl,Florida,Duval County,15,25,318
AK,Alaska,02,020,Anchorage Municipality,28,047,Ms,Mississippi,Harrison County,15,35,262
AK,Alaska,02,020,Anchorage Municipality,13,051,Ga,Georgia,Chatham County,15,28,372
AK,Alaska,02,020,Anchorage Municipality,30,031,Mt,Montana,Gallatin County,15,26,311
AK,Alaska,02,020,Anchorage Municipality,22,055,La,Louisiana,Lafayette Parish,15,31,1111
AK,Alaska,02,020,Anchorage Municipality,41,017,Or,Oregon,Deschutes County,15,29,480
AK,Alaska,02,020,Anchorage Municipality,40,143,Ok,Oklahoma,Tulsa County,15,25,508
AK,Alaska,02,020,Anchorage Municipality,53,057,Wa,Washington,Skagit County,14,20,295
AK,Alaska,02,020,Anchorage Municipality,06,019,Ca,California,Fresno County,14,25,330
AK,Alaska,02,020,Anchorage Municipality,15,001,Hi,Hawaii,Hawaii County,14,27,217
AK,Alaska,02,020,Anchorage Municipality,30,111,Mt,Montana,Yellowstone County,14,25,334
AK,Alaska,02,020,Anchorage Municipality,39,113,Oh,Ohio,Montgomery County,14,49,535
AK,Alaska,02,020,Anchorage Municipality,12,115,Fl,Florida,Sarasota County,14,19,258
AK,Alaska,02,020,Anchorage Municipality,20,173,Ks,Kansas,Sedgwick County,14,37,447
AK,Alaska,02,020,Anchorage Municipality,10,001,De,Delaware,Kent County,14,41,353
AK,Alaska,02,020,Anchorage Municipality,45,085,SC,South Carolina,Sumter County,14,36,302
AK,Alaska,02,020,Anchorage Municipality,21,111,Ky,Kentucky,Jefferson County,13,31,415
AK,Alaska,02,020,Anchorage Municipality,30,013,Mt,Montana,Cascade County,13,35,252
AK,Alaska,02,020,Anchorage Municipality,02,068,Ak,Alaska,Denali Borough,13,19,309
AK,Alaska,02,020,Anchorage Municipality,12,103,Fl,Florida,Pinellas County,13,18,175
AK,Alaska,02,020,Anchorage Municipality,26,081,Mi,Michigan,Kent County,13,22,292
AK,Alaska,02,020,Anchorage Municipality,24,031,Md,Maryland,Montgomery County,13,28,428
AK,Alaska,02,020,Anchorage Municipality,51,650,Va,Virginia,Hampton city,13,28,336
AK,Alaska,02,020,Anchorage Municipality,56,021,Wy,Wyoming,Laramie County,13,39,305
AK,Alaska,02,020,Anchorage Municipality,12,033,Fl,Florida,Escambia County,13,27,255
AK,Alaska,02,020,Anchorage Municipality,42,003,Pa,Pennsylvania,Allegheny County,12,17,273
AK,Alaska,02,020,Anchorage Municipality,04,003,Az,Arizona,Cochise County,12,27,263
AK,Alaska,02,020,Anchorage Municipality,36,045,NY,New York,Jefferson County,12,28,260
AK,Alaska,02,020,Anchorage Municipality,11,001,DC,District of Columbia,District of Columbia,12,18,298
AK,Alaska,02,020,Anchorage Municipality,36,061,NY,New York,New York County,12,17,353
AK,Alaska,02,020,Anchorage Municipality,12,071,Fl,Florida,Lee County,12,21,465
AK,Alaska,02,020,Anchorage Municipality,45,079,SC,South Carolina,Richland County,12,24,337
AK,Alaska,02,020,Anchorage Municipality,48,485,Tx,Texas,Wichita County,12,20,173
AK,Alaska,02,020,Anchorage Municipality,53,077,Wa,Washington,Yakima County,12,27,219
AK,Alaska,02,020,Anchorage Municipality,24,003,Md,Maryland,Anne Arundel County,12,32,248
AK,Alaska,02,020,Anchorage Municipality,45,019,SC,South Carolina,Charleston County,12,30,294
AK,Alaska,02,020,Anchorage Municipality,30,063,Mt,Montana,Missoula County,12,21,216
AK,Alaska,02,020,Anchorage Municipality,13,179,Ga,Georgia,Liberty County,12,33,243
AK,Alaska,02,020,Anchorage Municipality,41,029,Or,Oregon,Jackson County,12,22,300
AK,Alaska,02,020,Anchorage Municipality,17,019,Il,Illinois,Champaign County,12,27,246
AK,Alaska,02,020,Anchorage Municipality,06,077,Ca,California,San Joaquin County,12,28,186
AK,Alaska,02,020,Anchorage Municipality,06,097,Ca,California,Sonoma County,12,17,526
AK,Alaska,02,020,Anchorage Municipality,13,067,Ga,Georgia,Cobb County,12,19,421
AK,Alaska,02,020,Anchorage Municipality,02,201,Ak,Alaska,Prince of Wales-Outer Ke,12,27,277
AK,Alaska,02,020,Anchorage Municipality,18,097,In,Indiana,Marion County,11,30,252
AK,Alaska,02,020,Anchorage Municipality,08,069,Co,Colorado,Larimer County,11,16,410
AK,Alaska,02,020,Anchorage Municipality,34,005,NJ,New Jersey,Burlington County,11,35,367
AK,Alaska,02,020,Anchorage Municipality,13,153,Ga,Georgia,Houston County,11,31,295
AK,Alaska,02,020,Anchorage Municipality,12,095,Fl,Florida,Orange County,11,23,177
AK,Alaska,02,020,Anchorage Municipality,17,163,Il,Illinois,St. Clair County,11,25,260
AK,Alaska,02,020,Anchorage Municipality,48,085,Tx,Texas,Collin County,11,34,2031
AK,Alaska,02,020,Anchorage Municipality,12,025,Fl,Florida,Dade,11,25,241
AK,Alaska,02,020,Anchorage Municipality,08,001,Co,Colorado,Adams County,11,19,199
AK,Alaska,02,020,Anchorage Municipality,30,029,Mt,Montana,Flathead County,11,21,169
AK,Alaska,02,020,Anchorage Municipality,49,049,Ut,Utah,Utah County,11,20,173
AK,Alaska,02,020,Anchorage Municipality,38,035,ND,North Dakota,Grand Forks County,11,26,248
AK,Alaska,02,020,Anchorage Municipality,29,095,Mo,Missouri,Jackson County,11,16,197
AK,Alaska,02,020,Anchorage Municipality,48,157,Tx,Texas,Fort Bend County,11,35,1329
AK,Alaska,02,020,Anchorage Municipality,39,035,Oh,Ohio,Cuyahoga County,11,19,556
AK,Alaska,02,020,Anchorage Municipality,42,101,Pa,Pennsylvania,Philadelphia County,10,13,265
AK,Alaska,02,020,Anchorage Municipality,02,280,Ak,Alaska,Wrangell-Petersburg,10,13,172
AK,Alaska,02,020,Anchorage Municipality,12,011,Fl,Florida,Broward County,10,16,478
AK,Alaska,02,020,Anchorage Municipality,23,003,Me,Maine,Aroostook County,10,27,274
AK,Alaska,02,020,Anchorage Municipality,06,115,Ca,California,Yuba County,10,30,196
AK,Alaska,02,020,Anchorage Municipality,06,099,Ca,California,Stanislaus County,10,13,269
AK,Alaska,02,020,Anchorage Municipality,22,115,La,Louisiana,Vernon Parish,10,23,202
AK,Alaska,02,020,Anchorage Municipality,36,067,NY,New York,Onondaga County,10,20,239
AK,Alaska,02,020,Anchorage Municipality,23,005,Me,Maine,Cumberland County,10,14,183
AK,Alaska,02,020,Anchorage Municipality,51,013,Va,Virginia,Arlington County,10,17,181
AK,Alaska,02,020,Anchorage Municipality,06,041,Ca,California,Marin County,10,21,276
AK,Alaska,02,020,Anchorage Municipality,63,010,XX,,Same State,20,34,440
AK,Alaska,02,020,Anchorage Municipality,63,011,XX,,Region 1: Northeast,417,674,10897
AK,Alaska,02,020,Anchorage Municipality,63,012,XX,,Region 2: Midwest,648,1166,15586
AK,Alaska,02,020,Anchorage Municipality,63,013,XX,,Region 3: South,817,1715,19580
AK,Alaska,02,020,Anchorage Municipality,63,014,XX,,Region 4: West,591,1101,14201
AK,Alaska,02,020,Anchorage Municipality,63,050,Ak,,County Non-Migrant,79763,177512,3613016
AK,Alaska,02,050,Bethel Census Area,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),243,471,6533
AK,Alaska,02,050,Bethel Census Area,02,020,Ak,Alaska,Anchorage Municipality,49,99,1177
AK,Alaska,02,050,Bethel Census Area,02,090,Ak,Alaska,Fairbanks North Star Borough,23,39,673
AK,Alaska,02,050,Bethel Census Area,02,270,Ak,Alaska,Wade Hampton,21,54,443
AK,Alaska,02,050,Bethel Census Area,02,070,Ak,Alaska,Dillingham Census Area,10,29,216
AK,Alaska,02,050,Bethel Census Area,63,010,XX,,Same State,33,75,923
AK,Alaska,02,050,Bethel Census Area,63,011,XX,,Region 1: Northeast,12,16,354
AK,Alaska,02,050,Bethel Census Area,63,012,XX,,Region 2: Midwest,14,19,470
AK,Alaska,02,050,Bethel Census Area,63,013,XX,,Region 3: South,26,53,609
AK,Alaska,02,050,Bethel Census Area,63,014,XX,,Region 4: West,55,87,1668
AK,Alaska,02,050,Bethel Census Area,63,050,Ak,,County Non-Migrant,3595,9663,87043
AK,Alaska,02,060,Bristol Bay Borough,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),120,201,2782
AK,Alaska,02,060,Bristol Bay Borough,57,005,FR,Foreign,Aggregate (county 5),16,22,343
AK,Alaska,02,060,Bristol Bay Borough,02,020,Ak,Alaska,Anchorage Municipality,12,21,412
AK,Alaska,02,060,Bristol Bay Borough,63,030,XX,,Suppress All Flows,92,158,2027
AK,Alaska,02,060,Bristol Bay Borough,63,050,Ak,,County Non-Migrant,399,902,14852
AK,Alaska,02,068,Denali Borough,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),152,278,3344
AK,Alaska,02,068,Denali Borough,02,090,Ak,Alaska,Fairbanks North Star Borough,20,40,806
AK,Alaska,02,068,Denali Borough,63,010,XX,,Same State,29,56,600
AK,Alaska,02,068,Denali Borough,63,011,XX,,Region 1: Northeast,10,21,226
AK,Alaska,02,068,Denali Borough,63,012,XX,,Region 2: Midwest,16,23,282
AK,Alaska,02,068,Denali Borough,63,013,XX,,Region 3: South,13,18,228
AK,Alaska,02,068,Denali Borough,63,014,XX,,Region 4: West,64,120,1202
AK,Alaska,02,068,Denali Borough,63,050,Ak,,County Non-Migrant,490,1114,22716
AK,Alaska,02,070,Dillingham Census Area,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),123,240,3814
AK,Alaska,02,070,Dillingham Census Area,02,020,Ak,Alaska,Anchorage Municipality,20,41,648
AK,Alaska,02,070,Dillingham Census Area,63,020,XX,,Same State,31,67,942
AK,Alaska,02,070,Dillingham Census Area,63,021,XX,,"Same Region, Diff. State",41,76,1246
AK,Alaska,02,070,Dillingham Census Area,63,022,XX,,Different Region,31,56,978
AK,Alaska,02,070,Dillingham Census Area,63,050,Ak,,County Non-Migrant,1079,2829,33738
AK,Alaska,02,090,Fairbanks North Star Borough,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),3830,8116,86319
AK,Alaska,02,090,Fairbanks North Star Borough,02,020,Ak,Alaska,Anchorage Municipality,253,493,7080
AK,Alaska,02,090,Fairbanks North Star Borough,57,005,FR,Foreign,Aggregate (county 5),100,261,2749
AK,Alaska,02,090,Fairbanks North Star Borough,02,290,Ak,Alaska,Yukon-Koyukuk Census Area,85,153,2129
AK,Alaska,02,090,Fairbanks North Star Borough,06,053,Ca,California,Monterey County,82,175,1472
AK,Alaska,02,090,Fairbanks North Star Borough,57,001,FR,Foreign,Total (Same State),67,76,556
AK,Alaska,02,090,Fairbanks North Star Borough,37,051,NC,North Carolina,Cumberland County,64,186,1565
AK,Alaska,02,090,Fairbanks North Star Borough,08,041,Co,Colorado,El Paso County,53,156,1486
AK,Alaska,02,090,Fairbanks North Star Borough,02,240,Ak,Alaska,Southeast Fairbanks Census Area,48,97,1207
AK,Alaska,02,090,Fairbanks North Star Borough,02,122,Ak,Alaska,Kenai Peninsula Borough,46,86,938
AK,Alaska,02,090,Fairbanks North Star Borough,53,033,Wa,Washington,King County,44,72,901
AK,Alaska,02,090,Fairbanks North Star Borough,04,013,Az,Arizona,Maricopa County,44,83,1254
AK,Alaska,02,090,Fairbanks North Star Borough,48,029,Tx,Texas,Bexar County,43,126,1156
AK,Alaska,02,090,Fairbanks North Star Borough,48,027,Tx,Texas,Bell County,40,100,898
AK,Alaska,02,090,Fairbanks North Star Borough,21,047,Ky,Kentucky,Christian County,39,98,689
AK,Alaska,02,090,Fairbanks North Star Borough,02,170,Ak,Alaska,Matanuska-Susitna Borough,33,63,679
AK,Alaska,02,090,Fairbanks North Star Borough,06,071,Ca,California,San Bernardino County,32,74,872
AK,Alaska,02,090,Fairbanks North Star Borough,01,045,Al,Alabama,Dale County,32,78,887
AK,Alaska,02,090,Fairbanks North Star Borough,53,053,Wa,Washington,Pierce County,30,64,564
AK,Alaska,02,090,Fairbanks North Star Borough,32,003,Nv,Nevada,Clark County,30,74,715
AK,Alaska,02,090,Fairbanks North Star Borough,48,141,Tx,Texas,El Paso County,29,74,674
AK,Alaska,02,090,Fairbanks North Star Borough,02,185,Ak,Alaska,North Slope Borough,28,55,1142
AK,Alaska,02,090,Fairbanks North Star Borough,40,031,Ok,Oklahoma,Comanche County,28,83,588
AK,Alaska,02,090,Fairbanks North Star Borough,02,110,Ak,Alaska,Juneau City and Borough,27,43,762
AK,Alaska,02,090,Fairbanks North Star Borough,06,037,Ca,California,Los Angeles County,24,34,392
AK,Alaska,02,090,Fairbanks North Star Borough,36,045,NY,New York,Jefferson County,23,64,675
AK,Alaska,02,090,Fairbanks North Star Borough,13,215,Ga,Georgia,Muscogee County,23,57,493
AK,Alaska,02,090,Fairbanks North Star Borough,06,073,Ca,California,San Diego County,22,48,484
AK,Alaska,02,090,Fairbanks North Star Borough,53,063,Wa,Washington,Spokane County,22,54,593
AK,Alaska,02,090,Fairbanks North Star Borough,02,180,Ak,Alaska,Nome Census Area,20,49,822
AK,Alaska,02,090,Fairbanks North Star Borough,41,051,Or,Oregon,Multnomah County,20,35,361
AK,Alaska,02,090,Fairbanks North Star Borough,47,125,Tn,Tennessee,Montgomery County,19,56,413
AK,Alaska,02,090,Fairbanks North Star Borough,04,019,Az,Arizona,Pima County,19,54,458
AK,Alaska,02,090,Fairbanks North Star Borough,12,057,Fl,Florida,Hillsborough County,18,36,422
AK,Alaska,02,090,Fairbanks North Star Borough,41,039,Or,Oregon,Lane County,17,27,290
AK,Alaska,02,090,Fairbanks North Star Borough,12,091,Fl,Florida,Okaloosa County,17,39,344
AK,Alaska,02,090,Fairbanks North Star Borough,13,179,Ga,Georgia,Liberty County,16,44,300
AK,Alaska,02,090,Fairbanks North Star Borough,02,050,Ak,Alaska,Bethel Census Area,16,44,975
AK,Alaska,02,090,Fairbanks North Star Borough,02,261,Ak,Alaska,Valdez-Cordova,15,28,415
AK,Alaska,02,090,Fairbanks North Star Borough,48,201,Tx,Texas,Harris County,15,28,345
AK,Alaska,02,090,Fairbanks North Star Borough,15,003,Hi,Hawaii,Honolulu County,15,27,471
AK,Alaska,02,090,Fairbanks North Star Borough,45,079,SC,South Carolina,Richland County,14,34,391
AK,Alaska,02,090,Fairbanks North Star Borough,06,059,Ca,California,Orange County,13,15,251
AK,Alaska,02,090,Fairbanks North Star Borough,08,005,Co,Colorado,Arapahoe County,13,25,280
AK,Alaska,02,090,Fairbanks North Star Borough,48,099,Tx,Texas,Coryell County,13,33,288
AK,Alaska,02,090,Fairbanks North Star Borough,53,061,Wa,Washington,Snohomish County,13,22,273
AK,Alaska,02,090,Fairbanks North Star Borough,20,061,Ks,Kansas,Geary County,12,36,204
AK,Alaska,02,090,Fairbanks North Star Borough,20,103,Ks,Kansas,Leavenworth County,12,44,552
AK,Alaska,02,090,Fairbanks North Star Borough,02,068,Ak,Alaska,Denali Borough,12,23,381
AK,Alaska,02,090,Fairbanks North Star Borough,06,067,Ca,California,Sacramento County,12,31,274
AK,Alaska,02,090,Fairbanks North Star Borough,48,439,Tx,Texas,Tarrant County,12,26,233
AK,Alaska,02,090,Fairbanks North Star Borough,06,029,Ca,California,Kern County,11,29,327
AK,Alaska,02,090,Fairbanks North Star Borough,02,188,Ak,Alaska,Northwest Arctic Borough,11,15,318
AK,Alaska,02,090,Fairbanks North Star Borough,29,169,Mo,Missouri,Pulaski County,11,33,233
AK,Alaska,02,090,Fairbanks North Star Borough,08,031,Co,Colorado,Denver County,11,15,162
AK,Alaska,02,090,Fairbanks North Star Borough,17,163,Il,Illinois,St. Clair County,11,36,300
AK,Alaska,02,090,Fairbanks North Star Borough,24,025,Md,Maryland,Harford County,11,38,328
AK,Alaska,02,090,Fairbanks North Star Borough,51,700,Va,Virginia,Newport News city,11,24,220
AK,Alaska,02,090,Fairbanks North Star Borough,06,085,Ca,California,Santa Clara County,11,22,138
