y2_state,y2_state_name,y2_statefips,y2_countyfips,y2_county_name,y1_statefips,y1_countyfips,y1_state,y1_state_name,y1_county_name,n1,n2,AGI
AK,Alaska,02,013,Aleutians East Borough,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),102,150,2214
AK,Alaska,02,013,Aleutians East Borough,63,020,XX,,Same State,20,28,551
AK,Alaska,02,013,Aleutians East Borough,63,021,XX,,"Same Region, Diff. State",68,104,1272
AK,Alaska,02,013,Aleutians East Borough,63,022,XX,,Different Region,14,18,391
AK,Alaska,02,013,Aleutians East Borough,63,050,Ak,,County Non-Migrant,483,1101,14210
AK,Alaska,02,016,Aleutians West Census Area,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),744,1225,15994
AK,Alaska,02,016,Aleutians West Census Area,57,005,FR,Foreign,Aggregate (county 5),57,75,1133
AK,Alaska,02,016,Aleutians West Census Area,53,033,Wa,Washington,King County,37,56,980
AK,Alaska,02,016,Aleutians West Census Area,02,020,Ak,Alaska,Anchorage Municipality,30,45,759
AK,Alaska,02,016,Aleutians West Census Area,06,037,Ca,California,Los Angeles County,29,46,612
AK,Alaska,02,016,Aleutians West Census Area,06,073,Ca,California,San Diego County,26,55,664
AK,Alaska,02,016,Aleutians West Census Area,53,035,Wa,Washington,Kitsap County,12,31,360
AK,Alaska,02,016,Aleutians West Census Area,53,053,Wa,Washington,Pierce County,10,12,169
AK,Alaska,02,016,Aleutians West Census Area,63,010,XX,,Same State,34,68,1226
AK,Alaska,02,016,Aleutians West Census Area,63,011,XX,,Region 1: Northeast,38,56,636
AK,Alaska,02,016,Aleutians West Census Area,63,012,XX,,Region 2: Midwest,91,125,1511
AK,Alaska,02,016,Aleutians West Census Area,63,013,XX,,Region 3: South,161,274,3282
AK,Alaska,02,016,Aleutians West Census Area,63,014,XX,,Region 4: West,219,382,4662
AK,Alaska,02,016,Aleutians West Census Area,63,050,Ak,,County Non-Migrant,1549,3516,61953
AK,Alaska,02,020,Anchorage Municipality,96,000,Ak,Total Migration-US and Foreign,Total (State Aggregate),8636,17487,253945
AK,Alaska,02,020,Anchorage Municipality,02,170,Ak,Alaska,Matanuska-Susitna Borough,404,746,12844
AK,Alaska,02,020,Anchorage Municipality,02,090,Ak,Alaska,Fairbanks North Star Borough,339,644,10867
AK,Alaska,02,020,Anchorage Municipality,53,033,Wa,Washington,King County,309,543,11612
AK,Alaska,02,020,Anchorage Municipality,02,122,Ak,Alaska,Kenai Peninsula Borough,288,505,8533
AK,Alaska,02,020,Anchorage Municipality,57,005,FR,Foreign,Aggregate (county 5),223,629,6552
AK,Alaska,02,020,Anchorage Municipality,04,013,Az,Arizona,Maricopa County,141,294,4065
AK,Alaska,02,020,Anchorage Municipality,06,037,Ca,California,Los Angeles County,137,270,4413
AK,Alaska,02,020,Anchorage Municipality,02,110,Ak,Alaska,Juneau City and Borough,119,227,4383
AK,Alaska,02,020,Anchorage Municipality,02,261,Ak,Alaska,Valdez-Cordova,112,204,4181
AK,Alaska,02,020,Anchorage Municipality,57,001,FR,Foreign,Total (Same State),111,226,7307
AK,Alaska,02,020,Anchorage Municipality,06,073,Ca,California,San Diego County,88,175,2672
AK,Alaska,02,020,Anchorage Municipality,53,053,Wa,Washington,Pierce County,80,173,2285
AK,Alaska,02,020,Anchorage Municipality,02,150,Ak,Alaska,Kodiak Island Borough,79,143,2102
AK,Alaska,02,020,Anchorage Municipality,48,201,Tx,Texas,Harris County,74,172,5339
AK,Alaska,02,020,Anchorage Municipality,15,003,Hi,Hawaii,Honolulu County,73,163,2120
AK,Alaska,02,020,Anchorage Municipality,02,050,Ak,Alaska,Bethel Census Area,70,141,2300
AK,Alaska,02,020,Anchorage Municipality,48,029,Tx,Texas,Bexar County,70,182,1938
AK,Alaska,02,020,Anchorage Municipality,37,051,NC,North Carolina,Cumberland County,69,206,1516
AK,Alaska,02,020,Anchorage Municipality,53,061,Wa,Washington,Snohomish County,69,150,2080
AK,Alaska,02,020,Anchorage Municipality,06,059,Ca,California,Orange County,68,123,2601
AK,Alaska,02,020,Anchorage Municipality,08,041,Co,Colorado,El Paso County,64,173,1868
AK,Alaska,02,020,Anchorage Municipality,32,003,Nv,Nevada,Clark County,62,134,1577
AK,Alaska,02,020,Anchorage Municipality,02,016,Ak,Alaska,Aleutians West Census Area,61,119,1910
AK,Alaska,02,020,Anchorage Municipality,41,039,Or,Oregon,Lane County,57,113,1409
AK,Alaska,02,020,Anchorage Municipality,53,063,Wa,Washington,Spokane County,56,109,1223
AK,Alaska,02,020,Anchorage Municipality,02,185,Ak,Alaska,North Slope Borough,53,109,2726
AK,Alaska,02,020,Anchorage Municipality,06,071,Ca,California,San Bernardino County,53,132,1824
AK,Alaska,02,020,Anchorage Municipality,40,109,Ok,Oklahoma,Oklahoma County,52,129,1468
AK,Alaska,02,020,Anchorage Municipality,02,188,Ak,Alaska,Northwest Arctic Borough,47,89,1337
